entryTime,exitTime,location,phase,taskTrial
100.25,100.585,3,0,0
100.85,101.165,2,0,0
112,112.03,1,1,1
112.605,112.725,3,1,1
112.995,113.51,1,2,1
118.615,119.11,3,0,0
119.325,119.62,2,0,0
122.845,123.03,1,1,2
123.315,123.615,3,1,2
123.81,124.065,1,2,2
124.285,124.62,3,0,0
124.865,125.165,2,0,0
128.64,128.885,3,0,0
129.345,129.52,1,0,0
138.66,138.725,1,1,3
139.05,139.34,1,1,3
139.59,139.77,3,1,3
139.98,140.285,1,2,3
148.31,148.45,3,1,4
148.745,149.12,2,2,4
155.445,156.44,2,0,0
156.685,156.75,3,1,5
156.975,157.395,2,2,5
162.06,162.15,2,0,0
162.16,162.38,2,0,0
162.58,162.72,2,0,0
162.865,163.175,2,0,0
163.51,163.695,3,0,0
163.91,164.36,2,0,0
165.17,165.36,3,1,6
165.555,165.96,2,2,6
173.43,173.895,3,1,7
174.215,174.71,2,2,7
183.21,183.365,3,1,8
183.625,184.045,2,2,8
188.45,188.805,2,0,0
188.82,189.12,2,0,0
189.94,190.38,2,0,0
190.7,191.52,3,0,0
191.98,192.255,3,1,9
192.465,192.86,2,2,9
193.985,194.135,2,0,0
194.48,194.53,3,0,0
201.505,201.66,3,1,10
201.88,202.18,1,2,10
209.33,209.38,1,1,11
209.67,209.825,3,1,11
210.13,210.51,1,2,11
211.315,211.715,3,0,0
211.96,212.325,2,0,0
218.71,218.965,2,1,12
219.275,219.48,3,1,12
219.75,220.105,1,2,12
227.76,228.015,3,1,13
228.33,228.66,2,2,13
236.405,237.27,3,1,14
237.685,238.14,2,2,14
245.05,245.26,3,1,15
245.66,245.875,1,2,15
250.435,250.905,2,0,0
251.06,251.09,2,0,0
251.09,251.335,2,0,0
251.39,251.625,2,0,0
251.76,251.95,2,0,0
252.24,252.555,2,0,0
252.835,253.05,3,1,16
253.33,253.66,1,2,16
260.46,260.695,3,1,17
261.01,261.84,2,2,17
265.58,265.775,3,0,0
265.995,266.31,1,0,0
276.39,276.645,3,1,18
276.99,277.685,2,2,18
283.325,283.545,1,0,0
283.88,284.17,3,0,0
284.22,284.455,3,1,19
284.655,285.035,2,2,19
293.045,293.16,3,1,20
293.385,293.665,2,2,20
295.415,295.47,2,0,0
295.475,295.62,2,0,0
295.93,296.235,3,0,0
296.57,296.63,1,0,0
306.87,307.04,3,1,21
307.275,307.55,2,2,21
315.12,315.16,3,1,22
315.42,315.83,1,2,22
318.81,319.315,3,0,0
319.395,319.805,3,0,0
319.925,320.22,3,0,0
320.455,320.725,3,0,0
320.845,321.455,3,0,0
322.85,323.235,1,1,23
323.5,323.63,3,1,23
323.83,324.15,1,2,23
333.4,333.46,1,1,24
333.805,333.89,3,1,24
334.13,334.56,1,2,24
345.28,345.45,1,1,25
346.2,346.4,1,1,25
346.625,346.785,3,1,25
346.98,347.335,1,2,25
359.905,360.26,3,1,26
360.465,360.945,1,2,26
368.075,368.175,1,1,27
368.55,368.68,3,1,27
368.915,369.255,1,2,27
371.685,371.875,1,0,0
373.435,373.625,3,0,0
373.915,374.445,1,0,0
376.19,376.4,3,1,28
376.65,377.06,2,2,28
382.085,382.15,2,0,0
382.16,382.23,2,0,0
382.36,382.505,2,0,0
382.81,382.995,3,0,0
382.995,383.245,3,0,0
383.46,383.85,2,0,0
384.07,384.235,3,1,29
384.495,384.85,1,2,29
392.66,392.72,3,1,30
392.945,393.255,1,2,30
393.55,393.705,3,0,0
393.985,394.24,2,0,0
401.87,401.975,3,1,31
402.485,402.9,2,2,31
409.55,409.875,2,0,0
410.195,410.39,3,1,32
410.655,411.325,2,2,32
411.805,412.475,3,0,0
412.605,412.985,3,0,0
413.195,413.315,3,0,0
421.535,421.89,1,1,33
422.13,422.2,3,1,33
422.205,422.23,3,2,33
422.47,422.83,1,2,33
424.155,424.455,3,0,0
424.73,424.98,1,0,0
428.555,428.81,1,0,0
429.28,429.52,3,0,0
