cueTime,initTime,respTime,RT,rule,block,light,performance,error,frontChoice,lightChoice
122.525,135.765,136.215,0.450000000000017,F2,1,0,0,0,0,1
143.32,144.75,145.09,0.340000000000003,F2,1,0,1,0,1,0
152.215,154.175,154.745,0.569999999999993,F2,2,1,1,0,1,1
161.87,162.16,162.81,0.650000000000006,F2,3,0,0,2,0,1
169.915,170.135,170.705,0.570000000000022,F2,1,0,0,2,0,1
177.81,179.84,180.355,0.514999999999986,F2,1,0,0,2,0,1
187.46,188.73,189.46,0.730000000000018,F2,1,0,0,2,0,1
196.565,197.155,197.7,0.544999999999987,F2,1,0,0,2,0,1
204.805,207.705,208.465,0.759999999999991,F2,1,0,0,2,0,1
215.57,216.46,217.215,0.754999999999995,F2,1,0,1,0,1,0
224.34,225.97,226.725,0.754999999999995,F2,2,1,1,0,1,1
233.85,234.335,235.17,0.83499999999998,F2,3,0,0,2,0,1
242.275,242.85,243.895,1.04500000000002,F2,1,0,0,2,0,1
251,254.085,254.745,0.659999999999997,F2,1,0,0,2,0,1
261.85,263.46,264.055,0.595000000000027,F2,1,0,0,2,0,1
271.16,273.74,274.34,0.599999999999966,F2,1,0,1,0,1,0
281.465,282.13,282.865,0.735000000000014,F2,2,1,1,0,1,1
289.99,291.025,291.715,0.689999999999998,F2,3,0,0,2,0,1
298.82,299.235,299.945,0.70999999999998,F2,1,0,1,0,1,0
307.07,307.595,308.08,0.484999999999957,F2,2,1,1,0,1,1
315.205,315.85,316.29,0.439999999999998,F2,3,0,1,0,1,0
323.415,323.79,324.54,0.75,F2,4,1,1,0,1,1
331.665,331.975,332.385,0.409999999999968,F2,5,1,1,0,1,1
339.51,340.585,341.3,0.715000000000032,L4,1,0,0,0,1,0
348.405,349.705,350.7,0.995000000000005,L4,1,0,1,0,0,1
357.825,358.975,359.65,0.674999999999955,L4,2,1,1,0,1,1
366.775,367.59,368.555,0.965000000000032,L4,3,1,0,2,0,0
375.66,377.47,377.925,0.454999999999984,L4,1,0,0,2,1,0
385.03,391.5,392.09,0.589999999999975,L4,1,0,1,0,0,1
399.215,399.74,400.645,0.904999999999973,L4,2,1,0,2,0,0
407.75,408.08,408.55,0.470000000000027,L4,1,0,0,2,1,0
415.655,416.52,417.115,0.595000000000027,L4,1,0,1,0,0,1
424.24,424.345,424.97,0.625,L4,2,1,1,0,1,1
432.095,432.895,433.725,0.830000000000041,L4,3,1,0,2,0,0
440.83,443.62,444.235,0.615000000000009,L4,1,0,1,0,0,1
451.36,451.535,452.3,0.764999999999986,L4,2,1,1,0,1,1
459.425,460.225,460.795,0.569999999999993,L4,3,1,1,0,1,1
467.92,469.685,470.26,0.574999999999989,L4,4,0,0,2,1,0
477.365,478.93,479.795,0.865000000000009,L4,1,0,0,2,1,0
486.9,487.48,488.11,0.629999999999995,L4,1,0,1,0,0,1
495.235,496.395,496.915,0.520000000000039,L4,2,1,1,0,1,1
504.04,504.21,504.6,0.390000000000043,L4,3,1,1,0,1,1
511.725,511.765,512.38,0.615000000000009,L4,4,0,1,0,0,1
519.505,521.245,521.815,0.57000000000005,L4,5,0,1,0,0,1
528.94,529.635,530.525,0.889999999999986,R1,1,1,1,0,0,0
537.65,538.665,539.2,0.535000000000082,R1,2,0,1,0,0,1
