entryTime,exitTime,location,phase,taskTrial
133.205,133.35,2,0,0
133.715,134.105,3,0,0
134.41,134.715,2,0,0
139.91,140.36,3,1,1
140.725,141.19,1,2,1
150.67,151,3,1,2
151.26,151.7,1,2,2
152.005,152.345,3,0,0
160.495,160.755,3,1,3
161.085,161.43,2,2,3
169.64,170.055,3,1,4
170.435,170.65,2,2,4
179.185,179.27,2,1,5
179.605,180.015,3,1,5
180.28,180.735,2,2,5
187.685,187.925,3,1,6
188.215,188.73,2,2,6
201,201.475,3,1,7
202.435,202.655,3,2,7
202.975,203.305,2,2,7
213.5,213.705,3,1,8
214.125,214.45,1,2,8
222.16,222.32,3,1,9
222.675,223.085,1,2,9
223.425,223.99,3,0,0
224.515,224.68,2,0,0
237.57,237.755,3,1,10
238.44,238.615,2,2,10
239.015,239.445,3,0,0
239.675,239.805,2,0,0
247.355,247.575,3,1,11
247.885,248.165,2,2,11
248.49,248.955,3,0,0
249.28,249.51,1,0,0
282.81,283.19,2,1,12
283.55,284.065,3,1,12
284.33,284.74,2,2,12
285.025,285.57,3,0,0
285.95,286.03,1,0,0
297.91,298.075,2,1,13
298.47,298.9,3,1,13
299.17,299.51,2,2,13
305.75,306.965,3,0,0
307.43,307.585,2,1,14
307.945,309.78,3,1,14
312.255,313.41,1,0,0
314.22,314.645,3,0,0
315.525,316.01,1,0,0
320.89,321.55,3,1,15
321.97,322.22,1,2,15
330.08,330.285,1,1,16
330.645,330.925,3,1,16
331.29,331.82,1,2,16
332.16,332.88,3,0,0
333.53,333.95,2,0,0
340.865,341.395,3,1,17
341.785,342.445,1,2,17
352.445,352.97,3,1,18
353.38,353.785,1,2,18
354.115,354.515,3,0,0
354.845,355.65,1,0,0
356.105,356.165,3,0,0
365.535,365.9,2,1,19
366.255,366.59,3,1,19
366.87,367.595,2,2,19
367.88,369.535,3,0,0
370.115,371.165,1,0,0
371.69,372.135,3,0,0
372.43,372.965,1,0,0
376.83,377.52,3,1,20
377.85,378.41,1,2,20
383.94,384.36,1,0,0
385.67,385.765,3,1,21
386.28,386.54,1,2,21
386.89,387.58,3,0,0
387.97,388.48,1,0,0
388.765,389.255,3,0,0
389.555,389.97,1,0,0
392.35,392.47,2,0,0
397.925,398.18,1,1,22
398.56,398.97,3,1,22
399.265,399.63,1,2,22
409.5,409.97,1,1,23
411.435,412.11,1,1,23
412.44,413.06,3,1,23
413.825,414.02,2,2,23
421.175,422.19,3,1,24
422.56,422.7,2,2,24
428.975,429.225,2,0,0
429.845,430.065,3,1,25
430.425,430.82,2,2,25
431.175,431.86,3,0,0
431.91,432.24,3,0,0
432.695,433.16,1,0,0
439.29,439.52,3,1,26
439.815,440.355,1,2,26
446.375,447.04,1,0,0
447.415,447.45,3,1,27
447.975,448.66,1,2,27
448.985,449.35,3,0,0
449.71,450.32,1,0,0
450.67,450.75,3,0,0
457.57,458.035,1,1,28
458.375,458.775,3,1,28
459.05,459.595,1,2,28
467.82,468.775,1,1,29
469.095,469.645,3,1,29
469.94,470.43,1,2,29
470.745,471.315,3,0,0
472.14,472.335,2,0,0
478.325,478.975,3,1,30
479.29,479.635,1,2,30
486.155,486.805,1,0,0
487.84,488.02,3,1,31
488.355,488.86,1,2,31
489.145,489.59,3,0,0
489.66,490.045,3,0,0
490.55,490.875,2,0,0
497.455,498.38,3,1,32
498.46,498.695,3,2,32
499.05,499.675,1,2,32
506.885,507.09,1,1,33
507.445,507.995,3,1,33
508.28,508.61,1,2,33
