entryTime,exitTime,location,phase,taskTrial
93.42,93.745,1,0,0
101.66,102.11,3,1,1
102.375,102.71,1,2,1
108.855,109.005,2,0,0
109.29,110.245,3,0,0
110.265,110.465,3,1,2
110.73,111.23,2,2,2
119.93,120.095,1,1,3
120.41,120.605,3,1,3
120.945,121.39,2,2,3
121.485,121.69,2,0,0
129.075,129.195,3,1,4
129.475,129.975,1,2,4
137.175,137.31,3,1,5
137.77,138.135,1,2,5
147.59,147.715,3,1,6
148,148.44,1,2,6
154.89,156.07,3,0,0
156.225,156.42,3,1,7
156.72,157.24,2,2,7
166.24,166.605,1,1,8
166.845,167.025,3,1,8
167.275,167.685,1,2,8
173.13,173.425,1,0,0
173.71,174.035,1,0,0
174.4,174.48,3,0,0
174.775,175.365,3,1,9
175.635,175.99,2,2,9
178.58,178.745,1,0,0
179.16,179.61,1,0,0
183.4,183.69,3,1,10
184.085,184.465,2,2,10
200.735,201.05,3,1,11
201.295,201.715,1,2,11
206.255,206.325,1,0,0
206.635,206.79,3,0,0
206.975,207.105,3,0,0
207.12,208.025,3,0,0
208.42,208.655,1,0,0
208.97,209.37,3,1,12
209.69,210.07,2,2,12
212.85,213.08,3,0,0
213.645,213.875,3,0,0
214.2,214.575,1,0,0
217.92,218.105,3,1,13
218.395,218.845,2,2,13
238.62,239.465,3,1,14
239.755,240.12,1,2,14
244.935,245.745,3,0,0
245.785,246.13,3,0,0
246.385,246.815,1,0,0
247.11,247.465,3,1,15
247.785,248.11,2,2,15
249.39,249.61,1,0,0
255.39,255.62,3,1,16
255.905,256.325,1,2,16
263.79,264.285,3,1,17
264.585,264.92,2,2,17
275.875,276.025,2,1,18
276.325,276.54,3,1,18
276.79,277.3,2,2,18
281.075,281.145,1,0,0
281.155,281.215,1,0,0
281.27,281.355,1,0,0
281.74,281.935,1,0,0
282.81,282.88,3,0,0
283.235,283.62,3,0,0
283.97,284.17,1,1,19
284.425,284.67,3,1,19
284.92,285.425,1,2,19
302.595,302.8,1,1,20
303.08,303.255,3,1,20
303.52,303.895,1,2,20
310.67,310.9,3,1,21
311.17,311.485,1,2,21
319.01,319.205,3,1,22
319.53,319.95,1,2,22
327.71,327.96,3,1,23
328.595,328.96,1,2,23
333.975,334.525,3,0,0
334.575,334.855,3,0,0
335.275,335.655,1,0,0
336.11,336.305,3,1,24
336.51,336.875,1,2,24
337.165,337.45,1,0,0
338.545,338.8,1,0,0
343.995,344.39,3,1,25
344.64,345.105,2,2,25
352.29,352.46,3,1,26
352.725,353.04,1,2,26
353.41,353.49,3,0,0
361.22,361.4,3,1,27
361.64,362.05,2,2,27
367.33,367.94,3,0,0
368.665,369.51,3,0,0
369.66,369.91,3,1,28
370.175,370.71,2,2,28
377.965,378.265,1,1,29
378.515,378.845,1,1,29
379.12,379.305,3,1,29
379.55,379.915,1,2,29
386.175,386.39,3,0,0
386.885,387.14,3,1,30
387.435,387.8,1,2,30
388.18,388.405,3,0,0
388.775,389.02,1,0,0
396.89,397.155,2,1,31
397.45,397.675,3,1,31
397.925,398.355,2,2,31
405.505,405.71,3,1,32
406.03,406.49,2,2,32
406.625,406.785,2,0,0
412.555,412.64,1,0,0
413.38,413.505,3,1,33
413.745,414.035,1,2,33
419.335,419.815,3,0,0
419.895,420.265,3,0,0
420.435,420.645,3,0,0
421.04,421.265,3,1,34
421.555,421.975,2,2,34
428.145,428.19,1,0,0
428.19,428.495,1,0,0
428.605,428.805,1,0,0
429.195,429.26,3,1,35
429.57,429.865,1,2,35
434.72,434.76,3,0,0
435.1,435.21,3,0,0
436.195,436.455,3,0,0
436.735,437.005,1,1,36
437.34,437.485,3,1,36
437.735,438.245,1,2,36
442.26,442.415,2,0,0
442.805,443.64,3,0,0
444.35,444.575,3,0,0
444.855,445.44,2,1,37
445.7,445.925,3,1,37
446.18,446.715,2,2,37
451.405,451.64,1,0,0
452.125,452.295,3,0,0
452.55,452.805,1,0,0
454.775,455.045,3,1,38
455.31,455.735,2,2,38
461.15,461.4,3,0,0
461.4,461.72,3,0,0
462.27,462.515,3,0,0
462.515,462.76,3,1,39
462.98,463.295,1,2,39
468.34,468.705,2,0,0
471.95,472.33,2,1,40
472.58,472.75,3,1,40
472.97,473.52,2,2,40
478.745,478.77,1,0,0
478.8,478.84,1,0,0
479.25,479.35,3,0,0
479.615,479.77,1,0,0
480.07,480.995,3,0,0
482.095,482.27,3,1,41
482.735,483.135,2,2,41
489.16,489.26,3,0,0
489.62,489.7,3,0,0
490.44,490.67,3,1,42
491.275,491.48,3,2,42
491.71,492.075,1,2,42
496.105,496.39,3,0,0
501.55,501.71,3,1,43
501.98,502.51,2,2,43
507.88,508.49,3,0,0
508.53,508.805,3,0,0
509.425,509.62,3,1,44
509.855,510.38,2,2,44
516.74,517.17,1,0,0
517.455,517.56,3,1,45
517.805,518.305,1,2,45
519.985,520.23,3,0,0
520.505,520.745,2,0,0
537.03,537.145,1,1,46
537.475,537.685,3,1,46
538.155,538.535,1,2,46
541.56,541.775,2,0,0
542.05,542.51,3,0,0
542.87,543.16,3,0,0
543.405,543.725,2,0,0
544.39,544.95,3,0,0
545.68,546.425,3,1,47
546.66,547.115,1,2,47
555.575,555.765,3,1,48
556,556.465,2,2,48
562.815,563.03,2,0,0
563.38,563.54,3,1,49
563.77,564.225,2,2,49
569.495,570.18,3,0,0
570.26,570.62,3,0,0
570.945,571.155,2,1,50
571.475,571.67,3,1,50
571.905,573.185,2,2,50
578.48,578.71,3,0,0
579.245,579.55,3,1,51
579.81,580.21,2,2,51
586.645,586.85,1,0,0
587.315,587.47,3,1,52
587.78,588.19,1,2,52
588.875,589.845,3,0,0
592.145,592.22,3,0,0
592.71,592.855,3,0,0
600.97,601.385,3,1,53
601.645,602.27,1,2,53
