,a,a_std,a_subj.1,a_subj.2,a_subj.3,a_subj.4,a_subj.5,a_subj.6,a_subj.7,a_subj.8,a_subj.9,a_subj.10,a_subj.11,a_subj.12,a_subj.13,v,v_std,v_subj.1,v_subj.2,v_subj.3,v_subj.4,v_subj.5,v_subj.6,v_subj.7,v_subj.8,v_subj.9,v_subj.10,v_subj.11,v_subj.12,v_subj.13,t,t_std,t_subj.1,t_subj.2,t_subj.3,t_subj.4,t_subj.5,t_subj.6,t_subj.7,t_subj.8,t_subj.9,t_subj.10,t_subj.11,t_subj.12,t_subj.13,st,z,qS,qL,v_stim,alpha_stim,a_stim,t_stim,zt_stim,forg_stim,surp_stim,zt,zt_std,zt_subj.1,zt_subj.2,zt_subj.3,zt_subj.4,zt_subj.5,zt_subj.6,zt_subj.7,zt_subj.8,zt_subj.9,zt_subj.10,zt_subj.11,zt_subj.12,zt_subj.13,forg,forg_std,forg_subj.1,forg_subj.2,forg_subj.3,forg_subj.4,forg_subj.5,forg_subj.6,forg_subj.7,forg_subj.8,forg_subj.9,forg_subj.10,forg_subj.11,forg_subj.12,forg_subj.13,surp,surp_std,surp_subj.1,surp_subj.2,surp_subj.3,surp_subj.4,surp_subj.5,surp_subj.6,surp_subj.7,surp_subj.8,surp_subj.9,surp_subj.10,surp_subj.11,surp_subj.12,surp_subj.13,alpha,alpha_std,alpha_subj.1,alpha_subj.2,alpha_subj.3,alpha_subj.4,alpha_subj.5,alpha_subj.6,alpha_subj.7,alpha_subj.8,alpha_subj.9,alpha_subj.10,alpha_subj.11,alpha_subj.12,alpha_subj.13
0,1.3301469466868303,0.3272303053673637,1.8980456002587385,1.3427828532376176,1.0135308902142022,1.1753981532064923,1.4154485661895213,0.9458402672069437,1.6398632144120568,0.9749644297101623,1.2421285673747615,1.1500277105778514,1.068222971414842,0.8546356699050688,0.9397871987843744,2.0181784111661902,0.6071914045498641,1.0996806979694058,1.9743069821713326,2.35233956756564,2.0693437057493447,1.5404493332598674,2.4013164013814112,1.0849212388417746,2.082943617049459,1.8331638549225202,1.9429673838561305,1.9988156345187718,2.2019840242868716,1.9816406708345782,0.3133496938876903,0.03783863103462072,0.2692842783156688,0.3678402425312289,0.2789793256717567,0.3194245298956795,0.3589884324933684,0.31935529080305913,0.3229903537392595,0.33673049117075116,0.3384254701265562,0.34185779185333515,0.32498679152027005,0.32944281224047434,0.35385398939572205,0.1512570095860342,0.05689073256078001,0.6690330785044225,0.7009831128177613,0.22473636603752434,0.08315331917150992,-0.1070529070194845,0.0032177070708198545,0.10922047374408039,0.2235872038994896,0.019017581062677036,0.9671748897258873,0.4254926903290155,0.08825733192874397,0.8050961941256325,0.7133807567223572,1.2587643597950082,1.3021546621542088,1.5681227081644022,0.2512850822015933,1.295046272178334,0.9071174969062643,0.6814646804948868,1.4471612810899053,1.1963778594571342,0.544655979961011,-3.978984911836353,1.9422071126099072,-2.304648530676031,-3.031060201922442,-1.9443153465156437,-3.2580965467594556,-4.625607240102662,-3.961110315528222,-1.9367399431340135,-3.696051088411367,-3.7285144355919595,-2.805502992687729,-3.0115027476492866,-4.5866699929507835,-3.03241603791759,4.166761357150883,2.4501488572200314,3.3089668494548024,4.17187468976998,6.220317709137823,3.7916544164557413,8.52756086275965,3.8014118748080885,2.7073943515669545,5.4398881855465335,5.478806439763924,3.8013670656176917,3.550534533057166,7.871383322863983,2.658057089040332,-4.550037055536243,1.6156398272476469,-3.2847601791961134,-4.39403106303489,-4.81008084701564,-4.477734406524032,-7.60911344024019,-4.741606733740813,-2.8054543360369637,-5.086874599316761,-4.96870497559371,-3.8488206375543927,-4.458415400320693,-6.583873276346693,-3.39025897786261
1,1.0850369339210015,0.2734404523373937,1.8722666497192564,1.376055456382215,1.0241830047546185,1.1814742166711887,1.4248562053720493,0.939519677616812,1.6470143587399766,0.9840596849530259,1.2511025721474553,1.1508887590580947,1.063385442973074,0.8460901070097174,0.898096003933488,1.7834328025788555,0.7065536934178596,1.2190431057173738,1.8789095844531392,2.483803512937576,1.932225071436409,1.6023390430651232,2.349186864051324,1.3082807034005695,1.9491629799001613,1.8845117415032082,1.9017403342125676,2.2995488562727378,2.2751618095860033,1.942456423183206,0.33586933742385044,0.0281663437594115,0.27503967922712963,0.3642723038139306,0.2796578596674242,0.3222767969015618,0.35504851359522255,0.31990418460009507,0.321948689830772,0.33900960472952296,0.3420479869824879,0.34596940733920195,0.3286382466199691,0.32769252786514663,0.35953317486839004,0.1550667829596622,0.06028212006629015,0.6949686288598844,0.6941884054176477,0.2408252028722953,0.007191273313881835,-0.11009453219030085,0.0029798898566444233,0.14314504608624024,0.2967451141019471,-0.043483752531249975,0.9104235845581868,0.4951159740560356,0.11038092791760112,0.8107173966701704,0.6591397231203427,1.1566695420211537,1.3589483017243285,1.5507658724686433,0.2875844354615698,1.055192077628974,1.0560182788413193,0.6208979794249251,1.4313603937598574,1.1778457018726503,0.521072695470097,-2.9484459017015947,0.8012487268405424,-2.3074138721606174,-3.034027926546661,-2.259782331939167,-3.471089633380806,-5.330151967395074,-4.1681750066770435,-2.1561360675035424,-3.816427266326314,-3.634177848847653,-3.0663538942627433,-3.0380215391590477,-3.8352172003110674,-2.9653573959694715,3.364161491521543,1.8607795703860142,3.3016730487152057,4.2853865309189185,6.068643119377556,3.7978142653192597,8.51307133937325,3.7430510806266115,2.9404521060460866,5.191924993473918,5.644905709028135,3.6812232470763697,3.6900320485987654,7.971668016152196,2.642085296230144,-4.889244215833791,1.1167178281176329,-3.388990147187936,-4.665209054996371,-4.87831665014608,-4.388879119357632,-7.747809608390035,-4.74607300121889,-3.2258510162936,-4.941811271889065,-5.096267384734753,-3.930540184584003,-4.4713810413668496,-6.677989338343704,-3.4057582333289025
2,1.1799637876019156,0.28017111822269164,1.8432836874466434,1.3505168599000876,1.0188176868699903,1.1551924807613405,1.433296326170196,0.9439686599420384,1.5830583469870947,0.9797320522392915,1.2533067888322178,1.1351002867375017,1.0616177641307083,0.858288300194596,0.9011628915273203,2.248512825465098,0.6700019046052959,1.2401048521676483,1.8420565188341134,2.379561859377503,1.878719088108069,1.6250457526911806,2.5707536407896865,1.1813992808923133,2.0588792511271916,1.7215270977297452,1.8497018213047123,2.3701830908385033,2.3074979483960125,2.2011949911189053,0.3420581998072792,0.031441537508749486,0.27969843491737667,0.3650744170175164,0.28207346914842746,0.32237023505646606,0.3598970212370024,0.3190641463272445,0.32453845862198544,0.3392368601387295,0.33808938294328716,0.34561572145077923,0.3286746389640557,0.32903228567417575,0.3547278468340214,0.15185355480211865,0.06425078231948246,0.728876393613106,0.6854123825501314,0.15976849600339504,0.032511656138344946,-0.11575105613577064,0.003207678262948906,0.13741710184420444,0.2016352822624044,-0.014051699975664342,0.9592774948901495,0.49584292636559146,0.04286373165593445,1.0431347506144517,0.8121990768857601,1.1550197891087075,1.5148844020912406,1.2852636757334361,0.3928218349057508,0.8474357497421193,1.0216026665313156,0.7767601009495717,1.43792275082906,1.0916230482831222,0.33480127114974334,-3.4695053564159584,0.8072717316419293,-2.0096116748832498,-3.3282796359772977,-2.563480521663549,-3.610523408149189,-5.229971779748957,-4.31361059286786,-2.3588682615480825,-3.8250808073029576,-3.9429050953926215,-2.808338798437796,-2.901200660734103,-4.346434845603557,-3.132969989647564,4.746456804263276,2.212528103112946,3.4762732983104674,4.03239057437057,6.093778914505749,3.9620478498184983,8.494647081971925,4.053294233310419,3.149336394486713,5.344698919545977,5.694132245449455,3.9093534386219035,3.589190163136683,8.02239066045209,2.7835851736047887,-5.13927859186409,1.8469164077685247,-3.3165286955185476,-4.63862086925554,-5.003333438062716,-4.50462102001206,-7.6654704133561395,-4.73571299696018,-3.350117255362198,-5.056328024599782,-5.036608254097271,-4.118090725397865,-4.4642498115052245,-6.832774304709137,-3.485886702047206
3,1.262901121606065,0.2819076712896609,1.8580860610854457,1.364863426192046,1.0202332909900085,1.1536054053046185,1.4350840398940392,0.9553083437684351,1.590345166908962,0.9775970456269386,1.2612470980979893,1.1451198320099667,1.0687546187776538,0.8597555154529567,0.9254067722722091,1.8160128000424234,0.8794219907782763,1.3347011185820585,1.8905954153942162,2.5422294384882487,1.872474559559136,1.544714919068046,2.6695537187992366,1.1631254372413034,2.2281493797641145,1.6881708703831857,1.8616552850881671,2.2321830616653893,2.287129793722792,2.00135054491016,0.3424729608730054,0.034095828468972744,0.27246103385757564,0.3711712547963861,0.2803528225273459,0.3230927278313041,0.3561836086298004,0.32134321048376296,0.3324963337176856,0.3389419682152003,0.33813110679641,0.3449942308095221,0.32659602262790605,0.3260940502188198,0.35780015449856695,0.1526676960673622,0.05967062943203491,0.7161685762357531,0.7313709020642412,0.24005869642626987,-0.04980395572733609,-0.1123560901275135,0.0026752661887138804,0.1536092585470133,0.19811839295130512,0.014326606404184487,0.9895422248015496,0.3241324501805983,0.06128783145150474,1.007133729477286,1.054782848055175,1.194886590498574,1.416456787686903,1.331817566756472,0.39885714597965083,1.0949595885229786,1.0471318910412815,0.8033791270456514,1.2202932054838458,1.0634992553868692,0.49057402409586914,-2.944834544094597,1.4430953235700934,-1.9475195939862402,-3.303273519345681,-2.726080597285704,-3.295037235168804,-4.789731027911733,-3.925282598948037,-2.062551895633069,-3.795363252236826,-3.9008909844324853,-2.8946547261116686,-2.8318897367785016,-3.8500290466611395,-2.7595586548590068,6.125303031682903,3.045482358644585,3.508736746303693,3.9488639002696426,6.128649779150402,4.050131460730207,8.558150001458099,4.134271914664911,3.242518442234256,5.370577694464184,5.463100486782206,4.020879547772049,3.7167078806878275,8.255756740582292,2.859447906090047,-4.903640206430453,1.0882060622422673,-3.3907163232765467,-4.576007406241966,-5.171071537290719,-4.455726126184068,-7.735031596792232,-4.842565911832487,-3.4496308797834634,-5.1349898181069324,-4.935514515484668,-4.113391835314358,-4.470242717710689,-6.680427797479322,-3.5131629885017306
4,1.1904862795725202,0.308231921739145,1.8828689809521144,1.341988520929131,1.0133351386001244,1.1730792823488314,1.4170671128565107,0.9261910390866588,1.5981179028276757,0.988369443751767,1.2483565034855557,1.1449690376192823,1.0877605781398805,0.8497470702545696,0.9214441995090171,1.9343393579424348,0.7145696627160767,1.1463928867266981,1.8533492920595878,2.130322935110506,2.0192146470854326,1.572499629108717,2.419349374153662,1.1586062336337017,1.9468587078054345,1.6483422693758072,2.0326504916201102,2.250613985870346,2.393969276188196,2.1302392136774344,0.3301640912266051,0.04177884476259808,0.2703725790065743,0.3680535320653286,0.2795886461104949,0.32514008297333574,0.35786444275252177,0.321503666057612,0.32828216679675254,0.3386264550018954,0.3424582525615975,0.3453795028434284,0.32640190495235305,0.3261782793874961,0.35232587264830656,0.1524013812190208,0.06265121885932637,0.7059138698073314,0.693013246802668,0.27355602284702507,-0.03426382052855692,-0.11350830503039235,0.004519245801600696,0.18542024981135982,0.0434123321464977,-0.02313326872042462,0.8936353908918857,0.44333614555016376,0.095264934435981,0.9655829100284415,1.0522522306259603,1.2418980373712567,1.3697246883421865,1.3456729181187816,0.5201577988024102,1.1584604119743795,1.182313537634178,0.7407028001461847,1.1836697566049375,1.0460838894876117,0.534051647854086,-3.006362914092237,0.6940976949319098,-2.202140623620764,-3.2777185286492028,-2.644838338123965,-3.304496748028236,-4.903335197637881,-4.044942906236507,-2.2521050746428575,-3.498974508978854,-3.955648898670559,-2.95627793625742,-3.025330187390503,-3.440202917179251,-3.198222132976117,3.643127058942691,2.170027301088954,3.5450605940038455,3.756669619093317,5.900799196796691,4.063711961807928,8.564405860152588,4.032948169876959,2.841809308558643,5.524112464252248,5.416760693269554,4.202885005446149,4.039218576931965,8.30255446530297,3.1875506184546634,-4.952394471188828,1.2225327165860858,-3.421555574241923,-4.36291444633602,-5.0232705267567965,-4.526037797065776,-7.55401323095278,-4.697085303720249,-3.4870361274989996,-5.345933186358759,-4.950771370682748,-4.269798943659902,-4.599323878885144,-6.820944884281275,-3.508474358104407
5,1.1959336162503313,0.29584399288768204,1.8842361981535765,1.3546379338550434,0.9836134529377274,1.1609747795184808,1.4140319689282357,0.9330279559556561,1.635660864597162,0.9819944082027108,1.2254001329029824,1.1573468075500255,1.0713278242871247,0.8684277319844222,0.9247495542521992,1.9356877870508893,0.7612814730557275,1.1877057907404454,1.8320279271443223,2.1468323576937527,1.8748503512380834,1.5281474707101894,2.3989395130689566,1.3499172855889052,2.326015283069012,1.6321697152013002,1.8568960723238097,2.188853560063711,2.409209470772079,2.1526673563486334,0.3257889849776153,0.03316539222820276,0.26147434421053617,0.3662998671640885,0.2858830011183723,0.3276289798890654,0.35568911703611283,0.3203090602199009,0.3263772465110822,0.33755600179583317,0.341214540807612,0.342400796259805,0.31963460004740596,0.32567863949773385,0.35351867792036556,0.15304247796977072,0.042125833593837834,0.7163879938723754,0.6224446104569867,0.2787541593050701,0.008416152163974733,-0.11007246727057886,0.004826505069831573,0.20250409276884418,0.04358696199628609,-0.03414837938569493,0.9215923840694112,0.33368231767783635,0.024471895867751753,0.7660388657140605,1.1742308019120842,1.242569203689614,1.3427515966912908,1.2715464434007198,0.5217292692127494,1.1721658186691157,1.3212983959526667,0.7025599399233079,1.2799652913300865,1.0535418391004239,0.2693011934534014,-3.1246596338927333,0.8148296610858996,-2.1559500350844885,-2.452702414019119,-2.958804131834253,-3.588256699417978,-4.36360250580673,-3.9028859743406916,-2.3157915738233665,-3.6700056766837212,-4.304401377902413,-2.9221052155083003,-2.7621085773636933,-3.8355183503280874,-3.1616744432027724,3.0181913325797476,3.476344416232025,3.8044781585044145,3.944265178524848,5.945943197635502,3.9657160599677566,8.881097604702763,4.009404082745368,3.3554541431750344,6.099757373947091,5.247750508269037,4.504778965770231,3.9906821875850573,8.347928477876795,2.8094713294378892,-5.144289502319891,1.371470335893541,-3.5023364571102573,-4.210646882269748,-5.1170327529869555,-4.532867742499784,-7.757969038571656,-4.747899430819953,-3.558847706177051,-5.814036678600603,-4.894459006371465,-4.245316546188086,-4.575521945648379,-6.692297885016409,-3.5422810903002215
6,1.139859305499579,0.30665420763356277,1.8823557480958562,1.3464800576049676,0.9948012028402519,1.1599328498251633,1.4195854533471948,0.9444663602860494,1.646220565029062,0.982894894652788,1.185626321660434,1.135675988387914,1.0548474777409864,0.8229103345411024,0.9195610514121019,2.0756490013794164,0.5956171527940061,1.2150420465553189,2.028824950372552,2.623310559364248,2.026940520821719,1.5661335401292331,2.324662113329244,1.3221256564532693,2.3331608594889466,1.6057153673782576,2.0907581512031657,2.166468105001963,2.3323922565329287,2.150379515398038,0.32178127671280693,0.03423866415167094,0.26162726416682647,0.3626185585468717,0.2862068929329288,0.32289301668389464,0.356047782280167,0.3188510880041227,0.32609662061487127,0.33595652000583587,0.3438171221905241,0.34088720355936747,0.32678407469118703,0.3271418169229569,0.35339239761759395,0.1512027771833692,0.06135206288525698,0.6729660379563858,0.6690434797157327,0.08388648219675077,0.06803060718423833,-0.10925921358264172,0.004489673889804137,0.1583555906137947,0.006375547344706356,-0.06382798025704828,1.042099351267226,0.4991949174032013,-0.01031352588371992,0.6198813664352402,1.1081953726369256,1.2212731058372919,1.1236733550713287,1.218117261523161,0.5764346944097668,1.3037584908742925,1.145803248921941,0.7067373276645275,1.105515858279636,1.0954708263192887,0.5239778822563004,-3.1950630363899535,0.865972226150309,-2.186901964909834,-2.5138048360090837,-3.0071794383098593,-3.3046317598392965,-4.905466469779964,-3.8951958796038193,-2.26759422324484,-3.2714003716530478,-4.010629004525037,-2.684407650944472,-2.7453866888321916,-3.852837389760158,-2.7877819290301837,4.474496815508899,1.6995149841364916,3.977084032074756,3.6968535166527845,5.8402536517396655,3.907565590822792,8.878552427891387,3.972628115627682,3.3243254770918074,6.239369193365881,5.005705445085644,4.022702757017605,3.953596342560605,7.705055760410017,3.1081158227591104,-4.974957171827008,1.5747742348421432,-3.6485561268759645,-4.161548654505298,-5.109857459742218,-4.5143252492861174,-7.760288253618281,-4.7080053362497125,-3.782191178375571,-5.676612475368274,-4.896967430905339,-4.086119960619296,-4.500999014565981,-6.618034812094761,-3.8375434479176063
7,1.1995202023536748,0.3644294520397871,1.8762353241371055,1.3490939557891868,0.9937966895722969,1.1769752201221575,1.4079408661889574,0.9451160886803716,1.5841847146092154,0.9743682773121386,1.19305463439558,1.1507179882707936,1.0567045910456114,0.8262705948105891,0.9093504644887571,2.1559799431860682,0.5146832852851986,1.2664962882757447,1.9925577144738058,2.630669920697815,2.0730779447053806,1.5852248481558264,2.296149456664575,1.3634674048255544,2.2412613057951836,1.7147429915485728,1.971002678120064,2.1633019306731187,2.309109917392395,2.191006233841251,0.3225892421421408,0.043592555219345686,0.2662458374005357,0.36798339200652747,0.2829047144221679,0.32208660542397505,0.3570218522913449,0.31853112526914135,0.3270374179863166,0.3370160736643919,0.34442233743393036,0.34740783818709825,0.32712055584938804,0.33256638624244744,0.35261398557286944,0.15179950548607504,0.04812358848615721,0.7013857782582182,0.6189706636570719,0.09969451788205891,0.011702472755029614,-0.0996538477319499,0.0034472725380584107,0.1157793550815549,0.06494839286316978,0.07155616455894309,1.0148277915701533,0.5257058150662951,0.005113428658193364,0.6159590799751062,1.070527076561954,1.1970446947523088,1.4657288556045343,1.3840000418486067,0.6508044940052726,1.2139542638016134,1.1482066779240951,0.6414804593951655,1.205754175879343,1.1861400843792047,0.7060736966514289,-3.393507013997328,1.209364510076608,-1.5573582192408688,-2.7136925269498615,-2.4998180125824976,-3.597294505686945,-4.722851536559139,-3.6133685297332176,-2.147535996518989,-3.8856898169868916,-4.367988166052689,-2.7842985670754836,-3.0184945140428665,-4.003280694792247,-3.198314998713815,5.002534577648371,1.8292945408980983,4.135743583390269,3.2367664467389328,6.026716932845689,3.9810229969353372,8.647481937456954,4.027407961146637,3.494850076904576,6.259584344985493,5.124120875472229,3.9800723792994575,3.9869461175998833,7.656744176194827,3.328115101993058,-4.589402252857785,1.552479412273849,-3.5795275542340534,-4.0789632039192165,-5.1158221171659575,-4.554715422060053,-7.778865616078384,-4.6988847429060145,-3.8252560660767054,-5.641050357803682,-4.850567505409326,-4.094242589936895,-4.662007644113219,-6.43627404069559,-4.070204392983682
8,1.0481180396950478,0.2720045978102634,1.8843417733318348,1.3589104541295105,0.9878585758607868,1.1721405821089372,1.4190455123799972,0.9385231436996918,1.6061673848989935,0.9826050437760524,1.2020500289471554,1.153459622722759,1.0812602187511697,0.8352878726792006,0.9199366998341425,1.7619000176299446,0.548951471074296,1.2998340346119508,1.968434009936341,2.3066041650948557,1.9049339130345002,1.5672852405031674,2.3514722934639436,1.3916006300093748,2.301493530929711,1.5160927935942978,1.9112882621889329,2.2366511162825384,2.274337891335683,2.254775111864061,0.33438206744697757,0.03016156027494698,0.269024926191092,0.36174540191987387,0.2814353703682348,0.31868382500453746,0.3555335486288716,0.3177792941131983,0.33303220947714796,0.33768751967199756,0.34355895843271445,0.3397871413679138,0.3218448574109544,0.3290004702877104,0.3525281163748541,0.15125855530366294,0.047473138051474656,0.7055604329444837,0.652916425562315,0.1821825711643808,0.010242337639025961,-0.10518211640947361,0.0037860934108014076,0.07754696572050351,-0.043343269422691844,0.09224944032650276,1.0793277932453214,0.37293229572769576,0.08939776973602831,0.690049566564386,1.0798815930065881,1.4310856810154144,1.4215542962476917,1.4674459149562948,0.5754192692118357,1.2446504387890305,1.1038542834020082,0.8999802365556656,1.32678120449106,1.102872260159176,0.5906446749448543,-3.42909380717301,1.5060287828177596,-1.9754529461702655,-2.8789898199139894,-2.700128393731613,-3.661306003433571,-4.661627558349899,-4.115732649392057,-2.259034040230511,-3.840041832625423,-5.159013721974766,-2.904845830373376,-2.694533025478006,-3.8091272303649717,-2.149208174410731,5.835162875965798,1.2634222418702574,4.451022233484105,3.6278825439644327,5.644645575276713,3.7976778665383586,8.48697803177078,4.4156591667789575,3.6187040158398815,6.203785214425902,4.981476242911078,3.9985170943062673,4.054562314860424,7.46641539785148,3.3373438659072168,-5.004010231437444,0.91260634905702,-3.8428083273920324,-4.121916374882103,-5.122953184882807,-4.582908887462176,-7.6707833237232315,-4.944188235716495,-3.8880253071274757,-5.755125754943165,-4.877453853508629,-4.213717831910163,-4.75518080069114,-6.327683894798125,-3.724165574045721
9,1.316912516860675,0.30256173041185824,1.8816380807314699,1.3575347704052956,0.9928006200461421,1.1801641598137165,1.4137119808456813,0.9445284579088729,1.5888518669477205,0.9814148254724303,1.2042937080444711,1.1381410685507487,1.090618090624705,0.8466203791279029,0.9172291846439315,1.7791646294752521,0.38513029578115376,1.218310254918905,1.7475202367063676,2.3755557319551053,1.9051364481851853,1.5562591144384632,2.1933464599744705,1.1697484847776511,2.173731038106607,1.7295959973614328,1.8539074370111812,2.1275202172290966,2.3715776531930457,2.2008854701108036,0.3352440309644256,0.05523250149682923,0.2634354700763292,0.3618804664693406,0.28352693717764405,0.3187376141798517,0.35644357819327166,0.3170296315913007,0.3272470489287138,0.33592075280772526,0.33942164722447393,0.34542382016049467,0.31529231973717714,0.33003660135421203,0.3560506496326579,0.1518881083613186,0.04282370507872082,0.703109751631731,0.6585568806117761,0.16073246016201295,-0.08712840776295827,-0.10720709278345193,0.00329704451364197,0.07512545208479113,0.03467859277231433,0.09118576650658294,0.8685601618084554,0.4416552520993424,0.06616130212192796,0.807090356631992,1.1439505676329702,1.5129626813823966,1.507088846999868,1.5210301826407164,0.6132471717426352,1.3592946156003483,0.9855980230006075,0.7777883418772545,1.307241842727511,0.8541525042874628,0.3213605031016377,-3.4926291956551534,0.9333295267216628,-1.6083843191499836,-2.9611931136959315,-2.582440154016811,-4.018674832819877,-4.704347425952304,-4.035049543015612,-2.2920175729502055,-4.025012830459817,-3.820937910130815,-2.688322068140327,-2.835013570100141,-3.648885455097619,-3.1859061968178266,5.444753212106735,1.2489610344036526,4.7249685694509544,3.69057628739064,5.8007634475215415,3.91018285712956,8.478961314416363,4.62670737237742,3.6833835260049224,6.441514691267914,5.062576630721632,3.920997646349706,4.232624995344999,7.463843150712364,3.3259572788306215,-4.692262822914536,1.3263294242451553,-3.7897759977566245,-4.229140214314004,-4.897797857068289,-4.654725514346384,-7.599733768534218,-4.957085210958748,-3.692948317498165,-5.833108914226406,-4.7768849949813115,-4.020785502409363,-4.742588909386153,-6.326724279809562,-3.6652234340505276
