cueTime,initTime,respTime,RT,rule,block,light,performance,error,frontChoice,lightChoice
116.785,126.335,126.79,0.455000000000013,L1,1,1,0,0,0,0
133.895,135.02,135.58,0.560000000000002,L1,1,1,1,0,1,1
142.705,144.13,144.5,0.370000000000005,L1,2,0,0,2,1,0
151.605,165.345,165.72,0.375,L1,1,1,0,2,0,0
172.825,184.34,185.06,0.719999999999999,L1,1,1,1,0,1,1
192.185,197.065,197.385,0.319999999999993,L1,2,0,0,2,1,0
204.49,206.065,206.535,0.469999999999999,L1,1,1,1,0,1,1
213.66,227.885,228.31,0.425000000000011,L1,2,0,1,0,0,1
235.435,242.275,242.865,0.590000000000003,L1,3,1,1,0,1,1
249.99,250.155,250.72,0.564999999999998,L1,4,1,1,0,1,1
257.845,265.93,266.315,0.384999999999991,L1,5,0,1,0,0,1
273.44,274.825,275.425,0.600000000000023,F1,1,0,0,0,0,1
282.53,294.43,295.415,0.985000000000014,F1,1,0,0,1,0,1
302.52,311.225,312.25,1.02499999999998,F1,1,0,1,0,1,0
319.375,323.1,323.77,0.669999999999959,F1,2,1,1,0,1,1
330.895,331.42,331.925,0.504999999999995,F1,3,0,1,0,1,0
339.05,341.12,341.575,0.454999999999984,F1,4,1,1,0,1,1
348.7,349.485,349.925,0.439999999999998,F1,5,0,1,0,1,0
357.05,359.35,359.885,0.534999999999968,L2,1,0,1,0,0,1
367.01,368.625,369.28,0.654999999999973,L2,2,1,1,0,1,1
376.405,376.64,377.01,0.370000000000005,L2,3,1,1,0,1,1
384.135,384.515,385.06,0.545000000000016,L2,4,0,0,2,1,0
392.165,400.11,400.78,0.669999999999959,L2,1,0,1,0,0,1
407.905,408.92,409.48,0.560000000000002,L2,2,1,1,0,1,1
416.605,419.535,420.19,0.654999999999973,L2,3,1,1,0,1,1
427.315,428.575,429.185,0.610000000000014,L2,4,0,1,0,0,1
436.31,440.97,442.1,1.13,L2,5,0,1,0,0,1
449.225,449.995,451.015,1.01999999999998,R2,1,1,0,0,1,1
458.12,458.735,459.275,0.539999999999964,R2,1,1,0,1,1,1
466.38,472.235,472.665,0.430000000000007,R2,1,1,0,1,1,1
479.77,494.91,495.815,0.904999999999973,R2,1,1,1,0,0,0
502.94,503.045,503.67,0.625,R2,2,1,0,2,1,1
510.775,511.24,511.8,0.560000000000002,R2,1,1,0,2,1,1
518.905,524.045,524.645,0.600000000000023,R2,1,1,1,0,0,0
531.77,532.765,533.27,0.504999999999995,R2,2,1,1,0,0,0
540.395,541.655,542.115,0.460000000000036,R2,3,0,1,0,0,1
549.24,550.58,551.15,0.569999999999936,R2,4,0,1,0,0,1
558.275,560,560.655,0.654999999999973,R2,5,1,0,3,1,1
567.76,568.66,569.17,0.509999999999991,R2,1,1,0,3,1,1
576.275,594.01,594.715,0.705000000000041,R2,1,1,1,0,0,0
601.84,602.45,603.07,0.620000000000005,R2,2,1,1,0,0,0
610.195,611.095,611.55,0.454999999999927,R2,3,0,1,0,0,1
618.675,621.285,624.29,3.005,R2,4,0,0,3,NaN,NaN
631.295,635.31,635.765,0.455000000000041,R2,1,1,0,3,1,1
642.87,648.29,649.12,0.830000000000041,R2,1,1,0,3,1,1
656.225,658.045,658.83,0.785000000000082,R2,1,1,0,3,1,1
665.935,668.485,669.25,0.764999999999986,R2,1,1,0,3,1,1
676.355,686.85,687.38,0.529999999999973,R2,1,1,0,3,1,1
694.485,698.395,698.99,0.595000000000027,R2,1,1,1,0,0,0
706.115,709.045,709.81,0.764999999999986,R2,2,1,1,0,0,0
716.935,718.95,719.385,0.434999999999945,R2,3,0,1,0,0,1
726.51,730.73,732.08,1.35000000000002,R2,4,0,1,0,0,1
739.205,741.83,742.755,0.924999999999955,R2,5,1,1,0,0,0
749.88,751.45,751.85,0.399999999999977,L3,1,1,0,0,0,0
758.955,766.455,767.475,1.01999999999998,L3,1,1,1,0,1,1
774.6,775.635,776.195,0.560000000000059,L3,2,1,1,0,1,1
783.32,785.05,785.94,0.8900000000001,L3,3,0,1,0,0,1
793.065,798.78,800.41,1.63,L3,4,1,1,0,1,1
807.535,809.22,812.225,3.005,L3,5,0,0,2,NaN,NaN
819.23,820.11,820.745,0.634999999999991,L3,1,1,1,0,1,1
827.87,828.335,828.92,0.584999999999923,L3,2,1,1,0,1,1
836.045,836.57,837.37,0.799999999999955,L3,3,0,1,0,0,1
844.495,847.015,847.78,0.764999999999986,L3,4,1,1,0,1,1
854.905,855.795,856.45,0.655000000000086,L3,5,0,1,0,0,1
863.575,863.8,864.59,0.790000000000077,F2,1,0,0,0,0,1
871.695,873.055,873.84,0.785000000000082,F2,1,0,0,1,0,1
880.945,883.175,883.845,0.670000000000073,F2,1,0,0,1,0,1
890.95,892.59,893.15,0.559999999999945,F2,1,0,1,0,1,0
900.275,900.82,901.69,0.870000000000005,F2,2,1,1,0,1,1
908.815,909.27,909.685,0.414999999999964,F2,3,0,1,0,1,0
916.81,917.275,918.005,0.730000000000018,F2,4,1,1,0,1,1
925.13,925.455,925.88,0.424999999999955,F2,5,1,1,0,1,1
933.005,933.715,934.48,0.764999999999986,L4,1,0,1,0,0,1
941.605,942.18,943.24,1.06000000000006,L4,2,1,0,1,0,0
950.345,950.885,951.415,0.529999999999973,L4,1,0,1,0,0,1
958.54,958.905,959.425,0.519999999999982,L4,2,1,1,0,1,1
966.55,967.165,969.33,2.16500000000008,L4,3,1,1,0,1,1
976.455,979.22,979.735,0.514999999999986,L4,4,0,0,2,1,0
986.84,989.935,990.585,0.650000000000091,L4,1,0,1,0,0,1
997.71,1002.255,1003.285,1.02999999999997,L4,2,1,0,2,0,0
1010.39,1011.305,1011.895,0.590000000000032,L4,1,0,1,0,0,1
1019.02,1020.395,1021.165,0.769999999999982,L4,2,1,1,0,1,1
1028.29,1028.41,1028.985,0.574999999999818,L4,3,1,1,0,1,1
1036.11,1036.705,1037.395,0.690000000000055,L4,4,0,1,0,0,1
1044.52,1047.84,1048.655,0.815000000000055,L4,5,0,1,0,0,1
1055.78,1056.31,1057.8,1.49000000000001,R1,1,1,0,0,1,1
1064.905,1065.79,1066.96,1.17000000000007,R1,1,1,1,0,0,0
1074.085,1076.995,1077.45,0.455000000000155,R1,2,0,1,0,0,1
1084.575,1086.075,1086.715,0.639999999999873,R1,3,1,0,2,1,1
1093.82,1094.18,1094.955,0.774999999999864,R1,1,1,0,2,1,1
1102.06,1102.495,1103.065,0.570000000000164,R1,1,1,0,2,1,1
1110.17,1110.695,1111.17,0.475000000000136,R1,1,1,1,0,0,0
1118.295,1118.99,1119.68,0.690000000000055,R1,2,0,1,0,0,1
1126.805,1128.39,1129.245,0.854999999999791,R1,3,1,0,2,1,1
1136.35,1141.31,1141.975,0.664999999999964,R1,1,1,1,0,0,0
1149.1,1149.72,1150.25,0.529999999999973,R1,2,0,1,0,0,1
1157.375,1178.49,1179.08,0.589999999999918,R1,3,1,0,2,1,1
1186.185,1188.995,1190.035,1.04000000000019,R1,1,1,0,2,1,1
1197.14,1198.39,1199.14,0.75,R1,1,1,0,2,1,1
1206.245,1213.26,1213.995,0.7349999999999,R1,1,1,0,2,1,1
1221.1,1222.285,1222.665,0.379999999999882,R1,1,1,0,2,1,1
1229.77,1264.835,1265.665,0.829999999999927,R1,1,1,1,0,0,0
1272.79,1277.045,1277.545,0.5,R1,2,0,1,0,0,1
1284.67,1291.445,1292.74,1.29500000000007,R1,3,1,0,2,1,1
1299.845,1300.77,1303.185,2.41499999999996,R1,1,1,0,2,1,1
1310.29,1318.505,1319.2,0.694999999999936,R1,1,1,0,2,1,1
1326.305,1327.45,1328.06,0.6099999999999,R1,1,1,1,0,0,0
1335.185,1337.6,1338.03,0.430000000000064,R1,2,0,1,0,0,1
1345.155,1346.44,1347.245,0.804999999999836,R1,3,1,1,0,0,0
1354.37,1357.69,1358.805,1.11500000000001,R1,4,0,1,0,0,1
1365.93,1366.705,1367.27,0.565000000000055,R1,5,0,1,0,0,1
