,a(0),a(1),a_std,a_subj(0).P10,a_subj(0).P11,a_subj(0).P12,a_subj(0).P13,a_subj(0).P9,a_subj(1).P10,a_subj(1).P11,a_subj(1).P12,a_subj(1).P13,a_subj(1).P9,v(0),v(1),v_std,v_subj(0).P10,v_subj(0).P11,v_subj(0).P12,v_subj(0).P13,v_subj(0).P9,v_subj(1).P10,v_subj(1).P11,v_subj(1).P12,v_subj(1).P13,v_subj(1).P9,t,t_std,t_subj.P10,t_subj.P11,t_subj.P12,t_subj.P13,t_subj.P9,sv,sz,st,z_trans,z_std,z_subj_trans.P10,z_subj_trans.P11,z_subj_trans.P12,z_subj_trans.P13,z_subj_trans.P9,p_outlier,dbs_coeff,dbs_coeff_std,dbs_coeff_subj.P10,dbs_coeff_subj.P11,dbs_coeff_subj.P12,dbs_coeff_subj.P13,dbs_coeff_subj.P9
0,2.42910241063243,3.0980808283091146,0.9599261426676509,1.2070653855549518,1.8886339024895267,2.204107424330705,1.9702240384080996,2.224888098520086,1.7483083451353993,2.8543973193412175,5.590970063721587,2.2878842400486676,4.253635628654038,4.148444655967166,4.194355227400864,0.9519807652781052,4.95877937795116,5.172478527915149,3.848229627480827,5.325929311933162,4.498629074194565,3.547082902471474,3.179010915977414,5.008893105175591,3.0117973562340468,5.030533877863164,0.5559148094987942,0.12512947827208104,0.5122924464733856,0.4288106309440648,0.4770865126000149,0.5841297080733417,0.420753756872704,1.0772011120618794,0.012950397010258108,0.1271310784589929,-0.4706393124401835,0.06893524209684615,-0.42643429695715107,-0.4609159312181763,-0.515401247330746,-0.5094689833544147,-0.4677149443025832,0.01514220686101107,2.3002529308684974,1.2433354502675038,1.3647293420845523,0.8348049302635057,2.226926670550621,0.67278242009477,1.4816599132402999
1,2.061169481459955,2.8211977450540955,0.9472029856107467,1.145733492127589,1.8742174189811944,2.1920643332788905,1.903632883546375,2.3711029669664567,1.769786413969283,2.984784008547932,5.697152683719496,2.104662322432313,4.390993516159717,5.02141091356095,3.4005294823921943,1.1333023715128188,4.937312161267706,4.535784658613953,3.520628783433121,5.717497195645237,4.646456637052582,3.7016392633721362,2.813229779833917,4.975736576750049,3.2616335117376387,4.973334681220803,0.3987754225557051,0.11015634489933099,0.5079439036775684,0.4182362585464562,0.47949436263941986,0.6001479948084208,0.42224655499772756,1.009933093060946,0.20617288555812321,0.11358584522878692,-0.4789532422548569,0.07280018476990197,-0.3402670599398839,-0.439371661873912,-0.5262159810583531,-0.5520847875443202,-0.42624819472754544,0.008663349283366074,1.2264885056648136,0.5406782468561571,1.4689313224667655,0.8471141055895666,2.389320146936496,-0.06451708006430956,1.623820692118263
2,2.3633059845876008,2.482056000299204,1.0777072852847949,1.1425177760291212,1.8796297934046318,2.1776895258255298,1.9814883384839337,2.398231574869482,1.8316542468635846,3.0017159180806385,5.719597461882252,2.3067933018715774,4.433431263135183,4.053897732722147,3.2204576876041795,1.2498720540078991,4.349782773973463,4.537438765076262,3.461763708581033,6.536105653425945,4.7745255432610305,3.90955129610247,3.0480931224984573,5.109195493322989,3.3426178516006706,5.072315251350745,0.49390411255750966,0.08307096900212925,0.507970569877058,0.41073940603873765,0.4792592475292787,0.6089332054425136,0.4170644008494041,0.7430213709496365,0.2364194282548126,0.1118843422598332,-0.4647190833040603,0.0969294985473591,-0.3255401879297127,-0.43418725198073077,-0.5084729844592027,-0.4269854761379388,-0.3904854222901105,0.018109673840248725,1.2391081929133716,1.6318057491984328,1.396275714746353,1.1066423892425024,2.3847714998150993,-0.6471040748261838,1.4197904052952843
3,2.2409949525576573,2.8807743976341067,1.0641752633504546,1.1309606239855143,1.953187226127952,2.2211953339374007,1.9548352724336095,2.4517149359129435,1.8585158248706402,2.645539659253914,5.55316774255688,2.4109120325365687,4.441018867220921,5.26913254553019,3.0010454931662593,0.9326740549763282,4.477782426484735,4.5485573078808335,3.3809389023472165,5.837255943442412,4.234707875676629,4.11830283048172,2.7198939870409125,5.0142400955062945,3.93710135118326,4.893072112975425,0.46903280913150064,0.06062459070052866,0.5037176059010806,0.4032281488489796,0.4747202911976776,0.6041991042371647,0.4045510316043569,0.6918362219293588,0.24006388165470585,0.11825098586997043,-0.4484539447055673,0.07602344554423558,-0.45921215150408684,-0.4853838620016926,-0.5077727148531063,-0.4649494028992299,-0.29218704146320695,0.014744057546687258,1.3427276117950062,1.3494484535785263,1.2189700188188888,0.562635980700642,2.285083760421284,-0.8400995953635544,1.387838939464045
4,1.7426735975605663,2.748526345783122,1.246674204364327,1.1546352460382772,1.7149484237786543,2.2245749346933223,1.9540901442333716,2.433233143258666,1.728620486909614,2.6760433355805664,5.349063525570792,2.474673493060069,4.168302925469848,4.351872729731049,3.8263681195450667,0.9759895974284936,4.373580888235512,4.663128975297195,3.3858390800055878,5.701635585350038,4.529356198890083,3.9934144841948633,2.737748984287057,4.735989254034097,3.872840601295264,4.710917749205339,0.47191657159605876,0.10085241455467538,0.5067069049608752,0.405526000439098,0.47310061971151174,0.5911242810199672,0.41495566867245776,0.7514997051547901,0.2219297911762002,0.12227343858416825,-0.4934414539881181,0.09735524448244,-0.44861510111892156,-0.66622654283676,-0.5077071713163707,-0.43387570951370175,-0.33075802481853056,0.022692480874845898,-0.03514034646917352,2.103453620334327,1.7225592950860362,0.4883213971876854,2.3855194848833303,-0.7452386469546293,1.4149605062950752
5,1.788262829069402,3.08935239544083,1.1788439423273176,1.1887561167968435,1.7449092722631134,2.2397579144077873,1.7347574897060958,2.581336700251253,1.7253127045080077,3.1910933687198417,5.257688537225311,2.525076132129074,4.183751473740844,4.891576236156805,4.206817982706223,0.6512948333071644,4.900386001166946,4.750545478550647,3.767922113370737,5.007682243111965,4.8287203291668,3.659437497707943,3.2871368041366127,4.750397647482929,3.839329065309415,4.713888669927642,0.5463030172636533,0.12316696582428441,0.5163684313195864,0.41048611178136085,0.469944282346673,0.6011052012541479,0.4093371629687881,0.7936111969532488,0.23348326325990262,0.14269985918457723,-0.5331776221875052,0.0831563292700423,-0.4610997576597018,-0.5957616036984509,-0.5491801982734902,-0.43952625523706085,-0.3961379797960369,0.025811027268968723,1.4601515859732364,1.1955927501744035,1.6659387865239843,0.5083889730270548,2.361601388569104,-0.30307199170231613,1.5305183278245087
6,2.038296719236975,2.7502891241026184,1.1327667423902896,1.2182575587186562,1.75050096798363,2.2561282606908533,1.7916786015603416,2.411792698097498,1.6820284674605783,3.2135659620477974,5.157870016414706,2.1925150135104836,4.219267713865556,4.789572072004606,3.7693360705499597,0.84591454029616,5.0284142569852115,4.843543329324328,3.669160549966705,5.2593547411948025,4.778438774666086,3.7550420373955395,3.322165001557426,4.546243584044909,3.72319970314027,5.0187242224646615,0.4288036051714231,0.05211833402243217,0.5152026036273758,0.4189129747890479,0.47163231796231747,0.6155417138660405,0.4097056220095048,1.0697300346735183,0.055583372394943244,0.1303783381321498,-0.41023042973989515,0.09258677901715061,-0.3883039607962898,-0.6050831076945301,-0.5004806507196488,-0.4143588367526756,-0.42994518201688403,0.014461379410732977,0.4957701328405867,1.3502581880019169,1.9822781021717444,1.2192510121523188,2.7287288085520482,0.3586300664904267,1.6302704444453902
7,1.6547667648889581,3.0743931729986604,1.1349510048358922,1.2347657256288702,1.8636218554387147,2.2246472379765225,1.7987600090774891,2.416388241307993,1.705927854990188,3.155834690354222,5.210773437053254,2.0738073006138316,4.139467938422083,5.509590560139646,3.8056564260807755,0.7260738280806525,5.574764110758817,4.962800602087797,3.5679831410753,5.36744487102473,4.72311801546372,3.9483110707624673,3.256993512178415,4.572337354612354,2.513809772935352,4.687529216844287,0.47356467351762466,0.09839824029804477,0.5148777023669482,0.4176657254153678,0.47250264865482994,0.6010417387352825,0.4094120194639765,1.1235224142849778,0.0180063732609259,0.13906771565547893,-0.5577451244366094,0.08446850923982607,-0.4718892017357099,-0.47727807884338946,-0.4948542456939392,-0.47669679316301805,-0.42768554646434664,0.009818855974133643,1.0203222077815948,0.9608059547588356,1.7697466533771773,0.9596445040362874,2.0610990329167374,0.5747209576437406,1.6474065406803322
8,2.4138684548646827,2.2009714243895426,0.8071699191628512,1.2712899374053261,1.848576936732819,2.289794859600669,1.8508837060754688,2.3791592633330967,1.692922970470219,3.187860994686768,5.12685080415043,2.088004756189082,4.068273737223944,4.789551878352373,3.081948792998199,0.6679700257413057,5.198163627719654,3.9836168254822497,3.564323961587321,5.348327609852044,5.105881789540049,3.7957519358500624,3.0145917136873637,4.555969574508284,2.9368198567366526,4.629986595474294,0.4951149510654282,0.06752983599743417,0.5018841856229175,0.4095344124390341,0.47318300094380883,0.5987931933627245,0.4097364377866443,0.7678342386090652,0.207097895556452,0.14374833292508946,-0.5194565687974713,0.07142791604161769,-0.5016365688903808,-0.48317756262682804,-0.5389278392151755,-0.6746501666096256,-0.5697170773084483,0.009539649277254023,1.128406406391754,0.5731361408737121,1.2462867482451274,1.353928630430293,2.2490583986083164,0.8164916460347099,1.6130621210217653
9,1.646268648010154,3.5645664965700234,1.0422851562343969,1.312975409071854,1.6916670299029835,2.251899759590727,1.5701245468023675,2.6509908753953195,1.6731415027298058,2.964465126457596,4.983979593798508,2.017288237266511,4.254819037085003,4.594876438717202,3.5061474432449686,0.9176103757138314,5.155683172212342,3.7880709319489907,3.9136841905424746,4.517343675012571,4.9520293308581955,3.667855870956389,2.960164504292221,4.534430396829533,2.637227061933787,4.882440822326503,0.5002620456433204,0.16091815428679965,0.5043194442101768,0.3991046177938053,0.47407050537289114,0.605624317784175,0.3862210476697272,0.879004114741905,0.09604087300982585,0.1232800990526615,-0.4941781658553388,0.08497722844833962,-0.4569894902855992,-0.6410077369830903,-0.6194838146534212,-0.6976018340101025,-0.5869688364823503,0.008600145116638917,1.3782261250925074,0.5141246271484586,1.3719236266152137,1.4242007331311668,2.0592341992137255,0.5469596156431924,1.2243613860154445
