,Unnamed..0,Time,Type.of.Implant,Stim.Target,Project,File.Name,Outcome,Premature_or_not,Omission_or_not,Accuracy,Animal,Stim,Protocol,Date,Actual.Nosepoke,Trial.Number,Reaction.Time,Session.Number,Omission_binary,Premature_binary
1,0,56.73,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP3,1,0.4,1,0,0
2,1,74.62,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP5,2,0.14,1,0,0
3,2,86.62,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP4,3,0.385,1,0,0
4,3,104.305,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP2,4,0.205,1,0,0
5,4,132.67,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP4,5,-0.045,1,0,1
6,5,146.9,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP2,6,0.365,1,0,0
7,6,160.835,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP3,7,0.295,1,0,0
8,7,179.275,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Omission,Omission,Omission,,FC2,off,5CSRTT Day 1,7/20/2020,Omission,8,,1,1,1
9,8,205.135,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP4,9,-0.255,1,0,1
10,9,216.55,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP4,10,0.41,1,0,0
11,10,227.755,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP1,11,-1.605,1,0,1
12,11,236.575,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP2,12,0.82,1,0,0
13,12,248.7,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Incorrect Response,Not_premature,Not_omission,Error,FC2,off,5CSRTT Day 1,7/20/2020,NP2,13,0.145,1,0,0
14,13,262.665,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP1,14,0.405,1,0,0
15,14,277.055,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Incorrect Response,Not_premature,Not_omission,Error,FC2,off,5CSRTT Day 1,7/20/2020,NP1,15,1.435,1,0,0
16,15,290.01,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP5,16,-0.58,1,0,1
17,16,301.565,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP2,17,-1.4,1,0,1
18,17,317.95,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP5,18,0.575,1,0,0
19,18,330.725,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP2,19,3.72,1,0,0
20,19,346.615,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP4,20,0.43,1,0,0
21,20,358.885,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP4,21,-0.985,1,0,1
22,21,368.565,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP3,22,-0.905,1,0,1
23,22,378.315,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP1,23,0.425,1,0,0
24,23,389.735,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP5,24,0.615,1,0,0
25,24,402.425,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP3,25,0.34,1,0,0
26,25,413.18,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP4,26,-1.46,1,0,1
27,26,425.575,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP2,27,0.445,1,0,0
28,27,436.165,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP5,28,0.715,1,0,0
29,28,447.355,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP1,29,-0.39,1,0,1
30,29,458.34,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Incorrect Response,Not_premature,Not_omission,Error,FC2,off,5CSRTT Day 1,7/20/2020,NP5,30,3.3,1,0,0
31,30,473.205,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP3,31,-0.3,1,0,1
32,31,485.445,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Incorrect Response,Not_premature,Not_omission,Error,FC2,off,5CSRTT Day 1,7/20/2020,NP4,32,0.325,1,0,0
33,32,498.235,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP2,33,0.34,1,0,0
34,33,510.02,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP1,34,0.34,1,0,0
35,34,520.46,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP5,35,0.71,1,0,0
36,35,532.12,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP5,36,-1.235,1,0,1
37,36,542.26,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP4,37,0.415,1,0,0
38,37,555.6,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP1,38,0.325,1,0,0
39,38,572.545,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP2,39,0.465,1,0,0
40,39,586.305,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP5,40,-1.06,1,0,1
41,40,596.845,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP2,41,0.35,1,0,0
42,41,615.78,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP1,42,0.045,1,0,0
43,42,631.51,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP4,43,0.37,1,0,0
44,43,643.88,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Omission,Omission,Omission,,FC2,off,5CSRTT Day 1,7/20/2020,Omission,44,,1,1,1
45,44,660.465,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP4,45,-0.34,1,0,1
46,45,670.31,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP1,46,-0.375,1,0,1
47,46,685.665,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Omission,Omission,Omission,,FC2,off,5CSRTT Day 1,7/20/2020,Omission,47,,1,1,1
48,47,701.92,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP2,48,-1.74,1,0,1
49,48,713.5,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Incorrect Response,Not_premature,Not_omission,Error,FC2,off,5CSRTT Day 1,7/20/2020,NP3,49,0.87,1,0,0
50,49,728.015,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP1,50,-0.895,1,0,1
51,50,740.725,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP1,51,0.42,1,0,0
52,51,752.29,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP5,52,-0.76,1,0,1
53,52,764.405,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP5,53,0.75,1,0,0
54,53,777.405,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP5,54,-1.455,1,0,1
55,54,793.155,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Incorrect Response,Not_premature,Not_omission,Error,FC2,off,5CSRTT Day 1,7/20/2020,NP1,55,0.325,1,0,0
56,55,804.575,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP1,56,-0.38,1,0,1
57,56,815.61,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP1,57,0.175,1,0,0
58,57,829.52,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Incorrect Response,Not_premature,Not_omission,Error,FC2,off,5CSRTT Day 1,7/20/2020,NP1,58,2.17,1,0,0
59,58,842.135,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP2,59,0.02,1,0,0
60,59,853.93,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP1,60,-0.355,1,0,1
61,60,875.475,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP3,61,0.33,1,0,0
62,61,888.76,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP1,62,0.35,1,0,0
63,62,900.67,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP4,63,0.515,1,0,0
64,63,912.725,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP4,64,-0.445,1,0,1
65,64,923.88,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP1,65,-2.66,1,0,1
66,65,934.43,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP1,66,-0.485,1,0,1
67,66,947.97,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP2,67,-0.32,1,0,1
68,67,958.5,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP3,68,0.545,1,0,0
69,68,972.535,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP3,69,-0.865,1,0,1
70,69,982.735,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Incorrect Response,Not_premature,Not_omission,Error,FC2,off,5CSRTT Day 1,7/20/2020,NP3,70,0.95,1,0,0
71,70,999.72,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP3,71,0.555,1,0,0
72,71,1024.54,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP2,72,0.375,1,0,0
73,72,1040.84,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP5,73,0.635,1,0,0
74,73,1055.9,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP5,74,-0.685,1,0,1
75,74,1068.635,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP1,75,0.445,1,0,0
76,75,1080.08,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Incorrect Response,Not_premature,Not_omission,Error,FC2,off,5CSRTT Day 1,7/20/2020,NP1,76,0.605,1,0,0
77,76,1094.16,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP2,77,0.355,1,0,0
78,77,1106.475,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Incorrect Response,Not_premature,Not_omission,Error,FC2,off,5CSRTT Day 1,7/20/2020,NP1,78,4.89,1,0,0
79,78,1121.445,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP4,79,0.5,1,0,0
80,79,1140.065,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Incorrect Response,Not_premature,Not_omission,Error,FC2,off,5CSRTT Day 1,7/20/2020,NP3,80,1.15,1,0,0
81,80,1151.75,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP2,81,0.565,1,0,0
82,81,1167.005,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP1,82,-1.36,1,0,1
83,82,1176.42,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP3,83,0.225,1,0,0
84,83,1187.28,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP5,84,0.92,1,0,0
85,84,1201.015,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP2,85,-1.04,1,0,1
86,85,1210.185,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP5,86,-0.465,1,0,1
87,86,1221.73,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP2,87,0.305,1,0,0
88,87,1234.94,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP5,88,-1.765,1,0,1
89,88,1245.67,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP2,89,-1.175,1,0,1
90,89,1255.97,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Incorrect Response,Not_premature,Not_omission,Error,FC2,off,5CSRTT Day 1,7/20/2020,NP1,90,0.085,1,0,0
91,90,1267.295,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Incorrect Response,Not_premature,Not_omission,Error,FC2,off,5CSRTT Day 1,7/20/2020,NP5,91,2.54,1,0,0
92,91,1297.81,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Incorrect Response,Not_premature,Not_omission,Error,FC2,off,5CSRTT Day 1,7/20/2020,NP1,92,5.2,1,0,0
93,92,1315.775,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP1,93,0.565,1,0,0
94,93,1328.78,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP3,94,0.33,1,0,0
95,94,1343.25,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP3,95,-0.53,1,0,1
96,95,1354.2,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP1,96,-0.175,1,0,1
97,96,1364.515,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP1,97,-0.06,1,0,1
98,97,1375.31,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP2,98,-1.02,1,0,1
99,98,1391.355,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Omission,Omission,Omission,,FC2,off,5CSRTT Day 1,7/20/2020,Omission,99,,1,1,1
100,99,1409.01,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP1,100,0.46,1,0,0
101,0,3.64,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2on_2020_07_21__14_08_04.csv,Premature Response,Premature,Not_omission,,FC2,on,5CSRTT Day 2,7/21/2020,NP1,1,-2.865,2,0,1
102,1,19.38,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2on_2020_07_21__14_08_04.csv,Premature Response,Premature,Not_omission,,FC2,on,5CSRTT Day 2,7/21/2020,NP5,2,-3.02,2,0,1
103,2,39.61,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2on_2020_07_21__14_08_04.csv,Premature Response,Premature,Not_omission,,FC2,on,5CSRTT Day 2,7/21/2020,NP2,3,-2.165,2,0,1
104,3,52.69,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2on_2020_07_21__14_08_04.csv,Incorrect Response,Not_premature,Not_omission,Error,FC2,on,5CSRTT Day 2,7/21/2020,NP2,4,1.29,2,0,0
105,4,65.245,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2on_2020_07_21__14_08_04.csv,Premature Response,Premature,Not_omission,,FC2,on,5CSRTT Day 2,7/21/2020,NP1,5,-0.695,2,0,1
106,5,77.255,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2on_2020_07_21__14_08_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,on,5CSRTT Day 2,7/21/2020,NP2,6,4.495,2,0,0
107,6,94.415,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2on_2020_07_21__14_08_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,on,5CSRTT Day 2,7/21/2020,NP5,7,0.375,2,0,0
108,7,114.38,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2on_2020_07_21__14_08_04.csv,Omission,Omission,Omission,,FC2,on,5CSRTT Day 2,7/21/2020,Omission,8,,2,1,1
109,8,144.825,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2on_2020_07_21__14_08_04.csv,Premature Response,Premature,Not_omission,,FC2,on,5CSRTT Day 2,7/21/2020,NP2,9,-1.385,2,0,1
110,9,163.55,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2on_2020_07_21__14_08_04.csv,Premature Response,Premature,Not_omission,,FC2,on,5CSRTT Day 2,7/21/2020,NP1,10,-1.12,2,0,1
111,10,177.025,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2on_2020_07_21__14_08_04.csv,Premature Response,Premature,Not_omission,,FC2,on,5CSRTT Day 2,7/21/2020,NP1,11,-3.135,2,0,1
112,11,184.9,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2on_2020_07_21__14_08_04.csv,Premature Response,Premature,Not_omission,,FC2,on,5CSRTT Day 2,7/21/2020,NP3,12,-0.85,2,0,1
113,12,195.11,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2on_2020_07_21__14_08_04.csv,Premature Response,Premature,Not_omission,,FC2,on,5CSRTT Day 2,7/21/2020,NP5,13,-2.155,2,0,1
114,13,204.235,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2on_2020_07_21__14_08_04.csv,Premature Response,Premature,Not_omission,,FC2,on,5CSRTT Day 2,7/21/2020,NP5,14,-0.52,2,0,1
115,14,215.6,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2on_2020_07_21__14_08_04.csv,Premature Response,Premature,Not_omission,,FC2,on,5CSRTT Day 2,7/21/2020,NP1,15,-1.77,2,0,1
116,15,228.66,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2on_2020_07_21__14_08_04.csv,Premature Response,Premature,Not_omission,,FC2,on,5CSRTT Day 2,7/21/2020,NP1,16,-2.27,2,0,1
117,16,236.605,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2on_2020_07_21__14_08_04.csv,Premature Response,Premature,Not_omission,,FC2,on,5CSRTT Day 2,7/21/2020,NP1,17,-1.69,2,0,1
118,17,251.525,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2on_2020_07_21__14_08_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,on,5CSRTT Day 2,7/21/2020,NP5,18,0.43,2,0,0
119,18,262.89,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2on_2020_07_21__14_08_04.csv,Premature Response,Premature,Not_omission,,FC2,on,5CSRTT Day 2,7/21/2020,NP5,19,-1.645,2,0,1
120,19,278.745,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2on_2020_07_21__14_08_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,on,5CSRTT Day 2,7/21/2020,NP4,20,0.695,2,0,0
121,20,292.225,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2on_2020_07_21__14_08_04.csv,Premature Response,Premature,Not_omission,,FC2,on,5CSRTT Day 2,7/21/2020,NP5,21,-0.235,2,0,1
