entryTime,exitTime,location,phase,taskTrial
114.02,114.44,3,1,1
114.66,114.94,1,2,1
120.98,121.32,3,0,0
121.44,121.46,3,0,0
121.56,121.7,1,0,0
122.06,122.42,3,1,2
122.6,123.5,1,2,2
130.34,130.52,3,1,3
130.84,131.14,1,2,3
131.32,131.64,3,0,0
131.84,132.08,2,0,0
137.16,137.24,1,0,0
138.28,138.74,3,1,4
138.92,139.38,1,2,4
147.08,147.1,2,1,5
147.14,147.24,2,1,5
147.48,147.76,3,1,5
147.96,148.5,1,2,5
148.78,148.9,1,0,0
154.48,154.72,2,0,0
154.88,155.26,3,0,0
155.34,155.66,3,1,6
155.84,156.08,1,2,6
156.28,156.62,3,0,0
156.8,157,2,0,0
163.66,163.84,3,1,7
164.1,164.6,2,2,7
172.26,172.44,3,1,8
172.62,173.06,2,2,8
178.64,178.9,3,0,0
179,179.26,3,0,0
179.46,179.98,2,0,0
180.22,180.58,3,1,9
180.82,181.16,1,2,9
181.34,182.06,3,0,0
182.24,182.64,2,0,0
183.14,183.32,2,0,0
188.2,188.4,3,1,10
188.62,189.62,1,2,10
191.32,191.48,2,0,0
191.64,191.8,2,0,0
191.98,192.68,3,0,0
192.74,192.9,3,0,0
193.5,194.38,3,0,0
194.56,194.78,2,0,0
197.82,199.34,3,1,11
199.56,199.94,2,2,11
204.92,205.1,3,0,0
205.32,205.48,1,0,0
206.1,206.44,3,0,0
206.48,207.26,3,0,0
207.32,207.66,3,1,12
207.84,208.22,2,2,12
213.98,214.18,2,0,0
214.44,214.6,3,0,0
214.72,215.5,3,0,0
215.52,215.62,3,1,13
215.74,216.02,3,2,13
216.24,216.76,2,2,13
223.74,224.14,3,1,14
224.38,224.74,2,2,14
228.42,228.66,2,0,0
228.86,229.92,3,0,0
229.98,230.14,3,0,0
230.22,230.56,3,0,0
230.78,231.16,2,0,0
231.36,231.48,3,0,0
231.56,231.62,3,1,15
231.68,231.92,3,2,15
232.26,232.86,2,2,15
236.84,237.34,3,0,0
237.38,237.54,3,0,0
238.18,238.3,3,0,0
239.06,239.26,1,0,0
239.48,239.92,3,1,16
240.12,240.74,2,2,16
241.26,241.38,1,0,0
246.8,246.92,2,0,0
247.16,247.46,3,0,0
247.46,247.64,3,1,17
247.8,247.82,3,2,17
247.86,248.26,1,2,17
253.92,254.2,2,0,0
254.4,254.44,3,0,0
254.46,254.54,3,0,0
254.56,254.6,3,0,0
254.64,254.82,3,0,0
254.96,255.36,3,0,0
255.36,255.66,3,1,18
255.9,256.28,2,2,18
263.72,263.82,3,1,19
264.42,264.84,2,2,19
268.18,268.32,2,0,0
268.58,268.66,3,0,0
268.66,268.78,3,0,0
268.8,268.84,3,0,0
268.92,268.98,3,0,0
269.22,269.34,3,0,0
269.36,269.4,3,0,0
269.42,269.72,3,0,0
269.76,269.9,3,0,0
270.04,270.06,3,0,0
270.2,270.5,1,0,0
270.7,271.2,3,0,0
271.22,271.46,3,0,0
271.64,272.26,2,1,20
272.46,272.78,3,1,20
273,273.42,1,2,20
278.44,278.48,3,0,0
278.94,279.14,3,0,0
279.16,279.46,3,0,0
279.76,280.18,2,0,0
280.4,281.02,3,1,21
281.04,281.1,3,2,21
281.2,281.6,1,2,21
285.58,285.74,3,0,0
285.76,286,3,0,0
286,286.26,3,0,0
286.28,286.44,3,0,0
286.5,286.8,3,0,0
287.02,287.26,2,0,0
287.46,287.48,3,0,0
287.5,288.28,3,0,0
288.3,288.42,3,0,0
288.82,289.38,1,1,22
289.54,289.74,3,1,22
289.92,290.72,2,2,22
294.68,294.76,3,0,0
295.14,295.32,1,0,0
296.02,296.28,1,0,0
297.92,298.56,3,1,23
298.74,299.02,2,2,23
304.3,304.52,1,0,0
304.74,305.5,3,0,0
305.72,305.92,2,0,0
306.12,307.04,3,1,24
307.24,307.56,1,2,24
311.88,312.04,3,0,0
312.24,312.86,1,0,0
312.92,312.94,1,0,0
314.9,315.48,3,1,25
315.66,316.02,1,2,25
319.56,319.72,3,0,0
319.9,320.1,3,0,0
320.1,320.66,3,0,0
320.76,321.1,3,0,0
321.14,321.18,3,0,0
321.42,322.36,1,0,0
323.2,323.66,3,1,26
323.88,324.38,2,2,26
328.88,329.32,3,0,0
329.54,329.68,1,0,0
330.64,331.64,3,0,0
331.7,331.9,3,1,27
332.08,332.34,2,2,27
340.18,340.58,3,1,28
340.84,341.12,2,2,28
349.98,350.38,3,1,29
350.58,350.92,2,2,29
351.1,351.36,3,0,0
351.56,351.82,1,0,0
354.66,354.82,2,0,0
355,355.28,3,0,0
355.36,356.3,3,0,0
356.38,356.6,1,0,0
356.86,357.44,3,0,0
357.48,358.36,3,0,0
358.54,358.92,1,1,30
359.08,359.34,3,1,30
359.54,359.84,3,2,30
359.98,360.42,2,2,30
363.82,364.28,3,0,0
364.54,364.74,2,0,0
364.9,365.22,3,0,0
365.24,366.1,3,0,0
366.12,366.24,3,0,0
366.46,366.76,1,0,0
368.6,368.66,2,1,31
368.86,369.32,3,1,31
369.48,369.9,2,2,31
370.08,370.28,3,0,0
370.38,370.4,3,0,0
370.48,370.74,1,0,0
378.1,378.54,3,1,32
378.74,379.06,2,2,32
383.82,384.36,3,0,0
384.56,384.9,1,0,0
385.82,386.58,3,0,0
386.82,387.34,1,1,33
387.72,387.9,3,1,33
388.08,388.38,2,2,33
396.02,396.36,3,1,34
396.58,396.94,1,2,34
401.32,401.48,3,0,0
401.74,401.98,1,0,0
402.5,403.04,3,0,0
403.22,403.94,1,0,0
404.3,404.96,3,1,35
405.14,405.56,2,2,35
405.72,406.02,3,0,0
406.2,406.38,1,0,0
410.34,410.88,3,0,0
411.06,411.26,1,0,0
412.26,413.64,3,1,36
413.86,414.26,2,2,36
416.78,417.04,3,0,0
417.2,417.34,3,0,0
417.44,417.8,3,0,0
419.4,419.56,2,0,0
419.72,419.82,3,0,0
420,420.12,3,0,0
420.36,420.44,1,0,0
422,422.18,2,1,37
422.36,423.68,3,1,37
423.84,424.3,2,2,37
424.54,424.84,3,0,0
425.02,425.22,1,0,0
431.48,432.24,3,1,38
432.42,432.78,1,2,38
440.36,440.94,3,1,39
441.14,441.42,1,2,39
445.1,445.32,1,0,0
445.86,446.14,3,0,0
446.3,446.78,1,0,0
446.88,447.22,1,0,0
448.08,448.3,3,0,0
448.4,448.42,3,1,40
448.44,448.84,3,2,40
449.04,449.38,2,2,40
449.54,449.74,3,0,0
449.96,450.28,1,0,0
456.92,457.32,3,1,41
457.5,457.88,1,2,41
460.6,460.72,3,0,0
460.76,460.9,3,0,0
461.14,461.26,1,0,0
461.78,462.1,3,0,0
462.18,462.32,3,0,0
462.36,462.46,3,0,0
462.5,462.64,3,0,0
462.84,463.1,1,0,0
463.84,464.5,3,0,0
464.68,464.9,1,1,42
466.38,466.82,3,1,42
467,467.4,1,2,42
471.48,471.96,1,0,0
471.96,472,1,0,0
472.02,472.1,1,0,0
472.2,472.56,1,0,0
473.2,473.46,3,0,0
473.68,473.92,1,0,0
474.38,474.9,3,1,43
475.06,475.54,2,2,43
480.96,481.2,3,0,0
481.4,481.6,1,0,0
482.52,482.96,3,1,44
483.16,483.52,2,2,44
483.74,483.82,3,0,0
484,484.48,1,0,0
