cueTime,initTime,respTime,RT,rule,block,light,performance,error,frontChoice,lightChoice
110.67,112.52,113.2,0.680000000000007,L2,1,0,1,0,0,1
120.325,122.51,123.285,0.774999999999991,L2,2,1,1,0,1,1
130.41,130.935,131.69,0.754999999999995,L2,3,1,1,0,1,1
138.815,139.94,140.555,0.615000000000009,L2,4,0,0,2,1,0
147.66,153.38,153.815,0.435000000000002,L2,1,0,1,0,0,1
160.94,164.5,164.98,0.47999999999999,L2,2,1,1,0,1,1
172.105,172.165,172.785,0.620000000000005,L2,3,1,1,0,1,1
179.91,180.905,181.385,0.47999999999999,L2,4,0,1,0,0,1
188.51,189.825,190.405,0.580000000000013,L2,5,0,1,0,0,1
197.53,198.6,199.135,0.534999999999997,R2,1,1,0,0,1,1
206.24,207.61,208.43,0.819999999999993,R2,1,1,1,0,0,0
215.555,217.21,217.69,0.47999999999999,R2,2,1,0,2,1,1
224.795,227.315,227.96,0.64500000000001,R2,1,1,0,2,1,1
235.065,238.785,239.26,0.474999999999994,R2,1,1,1,0,0,0
246.385,247.41,248.02,0.610000000000014,R2,2,1,0,2,1,1
255.125,261.69,262.225,0.535000000000025,R2,1,1,1,0,0,0
269.35,276.59,277.135,0.545000000000016,R2,2,1,1,0,0,0
284.26,284.455,285.025,0.569999999999993,R2,3,0,1,0,0,1
292.15,293.64,294.3,0.660000000000025,R2,4,0,1,0,0,1
301.425,302.085,302.83,0.745000000000005,R2,5,1,0,3,1,1
309.935,315.595,316.05,0.454999999999984,R2,1,1,1,0,0,0
323.175,323.805,324.46,0.654999999999973,R2,2,1,0,3,1,1
331.565,336.125,336.495,0.370000000000005,R2,1,1,1,0,0,0
343.62,346.355,346.905,0.549999999999955,R2,2,1,1,0,0,0
354.03,356.765,357.655,0.889999999999986,R2,3,0,1,0,0,1
364.78,365.705,366.455,0.75,R2,4,0,1,0,0,1
373.58,376.25,377.885,1.63499999999999,R2,5,1,0,3,1,1
384.99,386.755,387.295,0.54000000000002,R2,1,1,0,3,1,1
394.4,395.74,396.16,0.420000000000016,R2,1,1,0,3,1,1
403.265,403.59,404.46,0.870000000000005,R2,1,1,0,3,1,1
411.565,412.995,413.34,0.34499999999997,R2,1,1,1,0,0,0
420.465,422.015,422.73,0.715000000000032,R2,2,1,1,0,0,0
429.855,430.265,431.645,1.38,R2,3,0,1,0,0,1
438.77,438.925,439.495,0.569999999999993,R2,4,0,1,0,0,1
446.62,451.705,452.345,0.640000000000043,R2,5,1,0,3,1,1
459.45,465.65,466.445,0.795000000000016,R2,1,1,0,3,1,1
473.55,474.435,474.825,0.389999999999986,R2,1,1,1,0,0,0
481.95,482.945,483.44,0.495000000000005,R2,2,1,1,0,0,0
490.565,494.405,495.015,0.610000000000014,R2,3,0,1,0,0,1
502.14,502.815,503.28,0.464999999999975,R2,4,0,1,0,0,1
510.405,510.82,511.455,0.634999999999991,R2,5,1,0,3,1,1
518.56,520.16,521.115,0.955000000000041,R2,1,1,0,3,1,1
528.22,534.105,534.64,0.534999999999968,R2,1,1,1,0,0,0
541.765,542.465,543.025,0.559999999999945,R2,2,1,1,0,0,0
550.15,550.655,551.57,0.915000000000077,R2,3,0,1,0,0,1
558.695,560.62,561.215,0.595000000000027,R2,4,0,1,0,0,1
568.34,568.66,570.23,1.57000000000005,R2,5,1,0,3,1,1
577.335,579.095,579.7,0.605000000000018,R2,1,1,0,3,1,1
586.805,587.815,588.435,0.619999999999891,R2,1,1,0,3,1,1
595.54,596.575,597.235,0.659999999999968,R2,1,1,0,3,1,1
604.34,607.4,607.94,0.540000000000077,R2,1,1,1,0,0,0
615.065,615.19,615.79,0.599999999999909,R2,2,1,0,3,1,1
622.895,627.185,627.67,0.485000000000014,R2,1,1,1,0,0,0
634.795,635.41,636.005,0.595000000000027,R2,2,1,0,3,1,1
643.11,643.835,644.155,0.319999999999936,R2,1,1,1,0,0,0
651.28,652.445,653.105,0.659999999999968,R2,2,1,0,3,1,1
660.21,666.55,666.995,0.44500000000005,R2,1,1,1,0,0,0
674.12,674.505,675.065,0.560000000000059,R2,2,1,0,3,1,1
682.17,683.96,684.46,0.5,R2,1,1,1,0,0,0
691.585,698.65,699.175,0.524999999999977,R2,2,1,1,0,0,0
706.3,707.39,707.835,0.44500000000005,R2,3,0,1,0,0,1
714.96,715.795,716.505,0.710000000000036,R2,4,0,1,0,0,1
723.63,723.78,724.56,0.779999999999973,R2,5,1,0,3,1,1
731.665,732.31,734.075,1.7650000000001,R2,1,1,1,0,0,0
741.2,741.43,742.165,0.735000000000014,R2,2,1,0,3,1,1
749.27,749.52,750.215,0.69500000000005,R2,1,1,0,3,1,1
757.32,760.06,760.465,0.405000000000086,R2,1,1,1,0,0,0
767.59,768.21,769.25,1.03999999999996,R2,2,1,1,0,0,0
776.375,776.63,777.055,0.424999999999955,R2,3,0,1,0,0,1
784.18,784.925,785.38,0.455000000000041,R2,4,0,1,0,0,1
792.505,793.255,794.16,0.904999999999973,R2,5,1,0,3,1,1
801.265,803.04,803.58,0.540000000000077,R2,1,1,0,3,1,1
810.685,811.465,811.915,0.449999999999932,R2,1,1,1,0,0,0
819.04,820.475,821.06,0.584999999999923,R2,2,1,0,3,1,1
828.165,828.66,829.3,0.639999999999986,R2,1,1,1,0,0,0
836.425,837.24,837.885,0.644999999999982,R2,2,1,0,3,1,1
844.99,845.84,846.3,0.459999999999923,R2,1,1,1,0,0,0
853.425,853.59,854.29,0.699999999999932,R2,2,1,0,3,1,1
861.395,864.52,865.1,0.580000000000041,R2,1,1,0,3,1,1
872.205,877.97,878.475,0.504999999999995,R2,1,1,0,3,1,1
885.58,889.38,889.885,0.504999999999995,R2,1,1,0,3,1,1
896.99,901.775,902.205,0.430000000000064,R2,1,1,1,0,0,0
909.33,909.35,909.955,0.605000000000018,R2,2,1,0,3,1,1
917.06,922.78,923.47,0.690000000000055,R2,1,1,1,0,0,0
930.595,931.82,932.785,0.964999999999918,R2,2,1,1,0,0,0
939.91,947.805,948.36,0.555000000000064,R2,3,0,1,0,0,1
955.485,958.03,958.44,0.410000000000082,R2,4,0,1,0,0,1
965.565,967.74,968.665,0.924999999999955,R2,5,1,0,3,1,1
975.77,976.14,976.535,0.394999999999982,R2,1,1,1,0,0,0
983.66,986.255,986.965,0.710000000000036,R2,2,1,1,0,0,0
994.09,994.96,995.735,0.774999999999977,R2,3,0,1,0,0,1
1002.86,1003.64,1004.075,0.435000000000059,R2,4,0,1,0,0,1
1011.2,1012.845,1014.105,1.25999999999999,R2,5,1,0,3,1,1
1021.21,1021.44,1022.06,0.619999999999891,R2,1,1,0,3,1,1
1029.165,1035.54,1036.305,0.7650000000001,R2,1,1,1,0,0,0
1043.43,1045.655,1046.21,0.555000000000064,R2,2,1,1,0,0,0
1053.335,1053.965,1054.315,0.350000000000136,R2,3,0,1,0,0,1
1061.44,1063.11,1063.535,0.425000000000182,R2,4,0,1,0,0,1
1070.66,1071.47,1072.535,1.06500000000005,R2,5,1,0,3,1,1
1079.64,1080.49,1081.305,0.815000000000055,R2,1,1,0,3,1,1
1088.41,1096.475,1097,0.525000000000091,R2,1,1,1,0,0,0
1104.125,1105.39,1105.815,0.424999999999955,R2,2,1,1,0,0,0
1112.94,1114.93,1115.79,0.8599999999999,R2,3,0,1,0,0,1
1122.915,1123.405,1123.775,0.370000000000118,R2,4,0,1,0,0,1
1130.9,1131.655,1132.225,0.569999999999936,R2,5,1,1,0,0,0
1139.35,1139.42,1140.155,0.7349999999999,L3,1,1,0,0,0,0
1147.26,1148.09,1148.66,0.570000000000164,L3,1,1,0,1,0,0
1155.765,1156.655,1157.215,0.559999999999945,L3,1,1,1,0,1,1
1164.34,1164.62,1165.4,0.7800000000002,L3,2,1,1,0,1,1
1172.525,1173.175,1173.915,0.740000000000009,L3,3,0,0,2,1,0
1181.02,1183.055,1183.575,0.519999999999982,L3,1,1,0,2,0,0
1190.68,1191.475,1192.78,1.30500000000006,L3,1,1,0,2,0,0
1199.885,1202.22,1202.785,0.565000000000055,L3,1,1,1,0,1,1
1209.91,1210.39,1211.155,0.764999999999873,L3,2,1,1,0,1,1
1218.28,1218.805,1219.845,1.03999999999996,L3,3,0,1,0,0,1
1226.97,1227.945,1228.405,0.460000000000036,L3,4,1,0,2,0,0
1235.51,1236.385,1237.3,0.914999999999964,L3,1,1,1,0,1,1
1244.425,1247.14,1247.505,0.365000000000009,L3,2,1,0,2,0,0
1254.61,1258.035,1258.48,0.444999999999936,L3,1,1,0,2,0,0
1265.585,1270.485,1271.07,0.585000000000036,L3,1,1,1,0,1,1
1278.195,1278.805,1279.23,0.424999999999955,L3,2,1,1,0,1,1
1286.355,1287.035,1287.86,0.824999999999818,L3,3,0,1,0,0,1
1294.985,1296.175,1296.63,0.455000000000155,L3,4,1,0,2,0,0
1303.735,1304.38,1304.97,0.589999999999918,L3,1,1,1,0,1,1
1312.095,1313.15,1313.87,0.7199999999998,L3,2,1,1,0,1,1
1320.995,1321.925,1322.87,0.944999999999936,L3,3,0,1,0,0,1
1329.995,1336.64,1337.195,0.554999999999836,L3,4,1,1,0,1,1
1344.32,1350.995,1351.62,0.625,L3,5,0,1,0,0,1
1358.745,1359.635,1360.54,0.904999999999973,F2,1,0,0,0,0,1
1367.645,1368.96,1369.555,0.595000000000027,F2,1,0,1,0,1,0
1376.68,1377.765,1378.435,0.669999999999845,F2,2,1,1,0,1,1
1385.56,1385.855,1386.415,0.559999999999945,F2,3,0,0,2,0,1
1393.52,1394.48,1395.185,0.704999999999927,F2,1,0,0,2,0,1
1402.29,1405.56,1405.955,0.394999999999982,F2,1,0,1,0,1,0
1413.08,1414.07,1414.73,0.660000000000082,F2,2,1,1,0,1,1
1421.855,1422.685,1423.13,0.445000000000164,F2,3,0,1,0,1,0
1430.255,1438.76,1439.23,0.470000000000027,F2,4,1,1,0,1,1
1446.355,1447.315,1447.905,0.589999999999918,F2,5,1,0,3,0,0
1455.01,1457.985,1458.57,0.585000000000036,F2,1,0,1,0,1,0
1465.695,1471.645,1472.455,0.809999999999945,F2,2,1,0,3,0,0
1479.56,1480.805,1481.78,0.974999999999909,F2,1,0,0,3,0,1
1488.885,1492.285,1492.74,0.454999999999927,F2,1,0,0,3,0,1
1499.845,1503.215,1503.6,0.384999999999991,F2,1,0,1,0,1,0
1510.725,1511.465,1512.03,0.565000000000055,F2,2,1,1,0,1,1
1519.155,1522.295,1522.955,0.659999999999854,F2,3,0,0,3,0,1
1530.06,1533.445,1533.95,0.505000000000109,F2,1,0,1,0,1,0
1541.075,1542.45,1543.16,0.710000000000036,F2,2,1,1,0,1,1
1550.285,1551.555,1552.11,0.554999999999836,F2,3,0,1,0,1,0
1559.235,1565.285,1565.75,0.464999999999918,F2,4,1,1,0,1,1
1572.875,1573.275,1573.89,0.615000000000009,F2,5,1,1,0,1,1
1581.015,1581.905,1582.33,0.424999999999955,L4,1,0,1,0,0,1
1589.455,1590.865,1591.485,0.619999999999891,L4,2,1,1,0,1,1
1598.61,1598.71,1599.93,1.22000000000003,L4,3,1,1,0,1,1
1607.055,1618.525,1619.435,0.909999999999854,L4,4,0,0,2,1,0
1626.54,1626.86,1627.67,0.810000000000173,L4,1,0,0,2,1,0
1634.775,1638.305,1638.82,0.514999999999873,L4,1,0,1,0,0,1
1645.945,1645.985,1646.6,0.615000000000009,L4,2,1,1,0,1,1
1653.725,1657.41,1658.01,0.599999999999909,L4,3,1,1,0,1,1
1665.135,1672.71,1673.44,0.730000000000018,L4,4,0,1,0,0,1
1680.565,1688.275,1688.82,0.544999999999845,L4,5,0,1,0,0,1
1695.945,1696.335,1696.85,0.514999999999873,R1,1,1,0,0,1,1
1703.955,1706.4,1706.87,0.4699999999998,R1,1,1,1,0,0,0
1713.995,1723.16,1724.12,0.959999999999809,R1,2,0,1,0,0,1
1731.245,1733.905,1734.84,0.934999999999945,R1,3,1,0,2,1,1
1741.945,1742.635,1743.225,0.589999999999918,R1,1,1,1,0,0,0
1750.35,1765.37,1766.46,1.09000000000015,R1,2,0,1,0,0,1
1773.585,1776.755,1777.31,0.554999999999836,R1,3,1,0,2,1,1
1784.415,1784.955,1785.665,0.710000000000036,R1,1,1,1,0,0,0
1792.79,1794.045,1794.74,0.694999999999936,R1,2,0,1,0,0,1
1801.865,1806.37,1806.945,0.575000000000045,R1,3,1,0,2,1,1
1814.05,1815.58,1816.265,0.685000000000173,R1,1,1,0,2,1,1
1823.37,1825.965,1826.85,0.884999999999991,R1,1,1,1,0,0,0
1833.975,1836.09,1836.54,0.450000000000045,R1,2,0,1,0,0,1
1843.665,1844.32,1844.78,0.460000000000036,R1,3,1,1,0,0,0
1851.905,1855.285,1855.725,0.439999999999827,R1,4,0,1,0,0,1
1862.85,1865.235,1865.7,0.465000000000146,R1,5,0,1,0,0,1
1872.825,1875.87,1876.385,0.5150000000001,L1,1,1,0,0,0,0
1883.49,1883.61,1884.7,1.09000000000015,L1,1,1,1,0,1,1
1891.825,1892.065,1892.55,0.4849999999999,L1,2,0,1,0,0,1
1899.675,1905.84,1906.415,0.575000000000045,L1,3,1,0,2,0,0
1913.52,1915.3,1915.94,0.6400000000001,L1,1,1,1,0,1,1
1923.065,1924.33,1924.81,0.480000000000018,L1,2,0,1,0,0,1
1931.935,1933.195,1933.63,0.435000000000173,L1,3,1,0,2,0,0
1940.735,1941.875,1942.67,0.795000000000073,L1,1,1,1,0,1,1
1949.795,1950.7,1951.14,0.440000000000055,L1,2,0,0,2,1,0
1958.245,1962.54,1963.085,0.545000000000073,L1,1,1,0,2,0,0
1970.19,1974.185,1974.86,0.674999999999955,L1,1,1,0,2,0,0
1981.965,1986.94,1987.73,0.789999999999964,L1,1,1,1,0,1,1
1994.855,1996.45,1996.995,0.544999999999845,L1,2,0,1,0,0,1
2004.12,2004.64,2005.9,1.25999999999999,L1,3,1,0,2,0,0
2013.005,2018.495,2018.965,0.470000000000027,L1,1,1,0,2,0,0
2026.07,2029.145,2029.805,0.660000000000082,L1,1,1,1,0,1,1
2036.93,2041.28,2041.785,0.505000000000109,L1,2,0,0,2,1,0
2048.89,2050.7,2051.24,0.539999999999964,L1,1,1,1,0,1,1
2058.365,2058.825,2059.29,0.465000000000146,L1,2,0,1,0,0,1
2066.415,2067.31,2067.94,0.630000000000109,L1,3,1,1,0,1,1
2075.065,2075.635,2076.285,0.649999999999636,L1,4,1,1,0,1,1
2083.41,2084.645,2085.93,1.28499999999985,L1,5,0,1,0,0,1
2093.055,2093.98,2094.465,0.485000000000127,F1,1,0,0,0,0,1
2101.57,2102.045,2102.765,0.7199999999998,F1,1,0,0,1,0,1
2109.87,2113.09,2113.495,0.404999999999745,F1,1,0,0,1,0,1
2120.6,2121.335,2121.94,0.605000000000018,F1,1,0,0,1,0,1
2129.045,2131.57,2132.25,0.679999999999836,F1,1,0,0,1,0,1
2139.355,2140.225,2140.69,0.465000000000146,F1,1,0,1,0,1,0
2147.815,2148.18,2149.13,0.950000000000273,F1,2,1,1,0,1,1
2156.255,2156.465,2157.055,0.589999999999691,F1,3,0,0,2,0,1
2164.16,2164.775,2165.325,0.549999999999727,F1,1,0,1,0,1,0
2172.45,2172.46,2172.965,0.505000000000109,F1,2,1,1,0,1,1
2180.09,2180.635,2181.165,0.529999999999745,F1,3,0,0,2,0,1
2188.27,2188.83,2189.425,0.595000000000255,F1,1,0,1,0,1,0
2196.55,2197.505,2198.205,0.699999999999818,F1,2,1,1,0,1,1
2205.33,2206.505,2207.65,1.14499999999998,F1,3,0,1,0,1,0
2214.775,2216.74,2217.37,0.630000000000109,F1,4,1,0,2,0,0
2224.475,2232.07,2232.635,0.565000000000055,F1,1,0,1,0,1,0
2239.76,2245.755,2246.225,0.4699999999998,F1,2,1,1,0,1,1
2253.35,2253.37,2254.205,0.835000000000036,F1,3,0,0,2,0,1
2261.31,2265.05,2265.52,0.4699999999998,F1,1,0,1,0,1,0
2272.645,2274.98,2275.67,0.690000000000055,F1,2,1,1,0,1,1
2282.795,2288.85,2289.825,0.974999999999909,F1,3,0,0,2,0,1
2296.93,2297.595,2298.32,0.725000000000364,F1,1,0,0,2,0,1
2305.425,2318.08,2319.335,1.25500000000011,F1,1,0,1,0,1,0
2326.46,2328.905,2329.295,0.389999999999873,F1,2,1,1,0,1,1
