entryTime,exitTime,location,phase,taskTrial
95.495,96.17,3,0,0
96.445,96.64,1,0,0
104.095,104.285,3,1,1
104.49,104.95,2,2,1
113.18,113.29,3,1,2
113.615,113.93,1,2,2
114.19,114.28,3,0,0
122.465,122.645,3,1,3
122.905,123.305,2,2,3
123.53,123.68,2,0,0
128.745,129.24,1,0,0
131.35,131.545,3,1,4
131.845,132.29,2,2,4
139.925,140.11,3,1,5
140.735,141.105,1,2,5
144.025,144.955,2,0,0
145.42,145.515,3,0,0
145.69,145.83,3,0,0
146.06,146.455,2,0,0
149.855,150.07,3,1,6
150.285,150.715,1,2,6
150.995,151.48,3,0,0
151.69,152.035,1,0,0
154.43,154.54,3,0,0
155.185,155.49,2,0,0
158.385,158.805,3,1,7
159.03,159.48,1,2,7
161.885,162.08,2,0,0
167.745,168.07,3,1,8
168.27,168.89,1,2,8
172.355,173.52,2,0,0
174.49,175.02,3,0,0
175.035,175.325,3,0,0
175.59,176.04,2,1,9
176.315,176.465,3,1,9
176.75,177.525,1,2,9
177.555,177.61,1,0,0
177.64,177.735,1,0,0
178.63,178.945,1,0,0
184.345,184.62,3,1,10
184.905,185.36,2,2,10
192.07,192.275,3,1,11
192.53,192.905,2,2,11
192.935,193.035,2,0,0
198.435,198.69,2,0,0
201.475,201.63,3,1,12
201.945,202.27,1,2,12
202.565,202.71,1,0,0
209.91,210.155,3,1,13
210.255,210.575,3,2,13
210.825,211.485,1,2,13
211.825,212.195,3,0,0
212.47,212.74,2,0,0
212.99,213.085,2,0,0
217.075,217.48,3,0,0
217.495,217.645,3,0,0
217.865,218.25,2,0,0
218.335,218.37,2,1,14
218.425,218.765,2,1,14
218.83,219.1,2,1,14
219.33,219.5,3,1,14
219.7,220.2,2,2,14
225.535,225.835,3,0,0
225.94,226.265,3,0,0
226.58,226.88,2,0,0
227.065,227.43,2,1,15
227.805,228.02,3,1,15
228.265,228.8,2,2,15
235.24,235.555,1,0,0
235.85,236.39,3,1,16
236.65,237.165,1,2,16
237.385,237.68,3,0,0
238.01,238.835,2,0,0
239,239.195,2,0,0
243.86,244.485,3,1,17
244.765,245.22,2,2,17
250.365,251.105,1,0,0
251.275,251.415,1,0,0
252.035,252.165,3,1,18
252.435,252.75,2,2,18
258.65,259.025,3,0,0
259.325,260.895,2,0,0
261.24,261.535,2,1,19
261.595,261.965,2,1,19
262.955,263.275,3,1,19
263.545,264.08,1,2,19
268.15,268.475,2,0,0
268.535,268.81,2,0,0
271.285,271.675,3,1,20
271.955,272.455,2,2,20
278.495,279.025,3,0,0
279.09,279.32,3,1,21
279.595,280.135,2,2,21
287.17,288.19,3,1,22
288.44,288.655,3,2,22
288.92,290.25,1,2,22
290.53,291.115,3,0,0
291.645,292.69,2,0,0
293.34,293.83,2,0,0
297.98,298.8,2,1,23
298.91,299.135,2,1,23
299.365,299.575,3,1,23
299.8,300.25,2,2,23
303.72,304.035,1,0,0
306.215,306.75,3,0,0
307.1,307.695,2,1,24
307.805,308.38,2,1,24
308.45,308.49,2,1,24
308.985,309.125,3,1,24
309.335,309.785,2,2,24
314.775,315.315,1,0,0
315.435,315.88,1,0,0
316.16,316.43,3,0,0
316.76,317.09,2,1,25
317.115,317.325,2,1,25
317.36,317.945,2,1,25
318.055,318.12,2,1,25
318.515,318.835,3,1,25
319.07,319.61,2,2,25
328.53,328.815,3,1,26
329.1,329.575,2,2,26
335.47,335.675,1,0,0
335.965,336.49,3,0,0
336.52,336.97,3,1,27
337.19,337.49,1,2,27
338.025,338.22,3,0,0
338.535,338.85,2,0,0
342.11,342.365,3,0,0
342.475,342.74,3,0,0
342.965,343.335,2,0,0
343.365,344.24,2,0,0
349.805,350.34,3,1,28
350.57,350.97,1,2,28
354.52,354.66,1,0,0
356.495,356.765,3,0,0
357.13,358.14,2,0,0
358.515,358.725,3,1,29
