Subject,Session,Stim,middle_body.time.stationary,traveled_distance_cm,speed_moving_cm.s
S24,6,ON,289.9333333,1831.536837,0.67253393
S24,7,ON,360.7333333,1646.257288,0.618525386
S24,8,OFF,268.8,2021.756778,0.736684015
S24,9,ON,300.4333333,2208.506142,0.813476822
S24,10,OFF,232,1988.739384,0.716273572
S24,11,ON,335.1333333,2087.104108,0.778801075
S24,12,OFF,314.1666667,1648.056933,0.610117773
S24,13,ON,229.4333333,2242.297437,0.80712317
S24,14,OFF,194.1333333,2135.068223,0.758627244
S24,15,ON,270.1666667,1594.794127,0.580881799
S24,16,OFF,201.6333333,2103.750959,0.748651592
S24,17,ON,283.9,1533.674961,0.560863593
S62,1,OFF,347.6,4272.701709,1.602044781
S62,2,ON,398.8333333,3854.387296,1.46844761
S62,3,OFF,621.9666667,4066.783392,1.702465597
S62,4,ON,317.6,3802.881116,1.411618172
S62,5,OFF,670.5333333,2407.871053,1.023356083
S62,6,ON,405.0333333,3238.565349,1.240358976
S62,7,OFF,538.3,2739.92162,1.104366827
S62,8,ON,607.1333333,2469.634582,1.024132617
S62,9,OFF,322.6,4452.520275,1.657994437
S62,10,ON,312.1,5666.846959,2.098135476
S62,11,OFF,204.4333333,3920.509792,1.398381444
S62,12,ON,284.8,3536.574684,1.299280769
S62,13,OFF,286.2333333,2848.078238,1.041527358
S62,14,ON,271,4435.183574,1.621045861
S62,15,OFF,356.0666667,4170.539925,1.569304829
S62,16,ON,351.5333333,3057.512066,1.149644474
