"","X","Animal","Session.Number","Outcome","Protocol","Stim","Omission_or_not","Premature_or_not","Accuracy","Reaction.Time"
"1",1,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.4
"2",2,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.14
"3",3,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.385
"4",4,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.205
"5",5,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-0.045
"6",6,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.365
"7",7,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.295
"8",8,"FC2","1","Omission","5CSRTT Day 1","off","Omission","Omission","",NA
"9",9,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-0.255
"10",10,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.41
"11",11,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-1.605
"12",12,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.82
"13",13,"FC2","1","Incorrect Response","5CSRTT Day 1","off","Not_omission","Not_premature","Error",0.145
"14",14,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.405
"15",15,"FC2","1","Incorrect Response","5CSRTT Day 1","off","Not_omission","Not_premature","Error",1.435
"16",16,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-0.58
"17",17,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-1.4
"18",18,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.575
"19",19,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",3.72
"20",20,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.43
"21",21,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-0.985
"22",22,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-0.905
"23",23,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.425
"24",24,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.615
"25",25,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.34
"26",26,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-1.46
"27",27,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.445
"28",28,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.715
"29",29,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-0.39
"30",30,"FC2","1","Incorrect Response","5CSRTT Day 1","off","Not_omission","Not_premature","Error",3.3
"31",31,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-0.3
"32",32,"FC2","1","Incorrect Response","5CSRTT Day 1","off","Not_omission","Not_premature","Error",0.325
"33",33,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.34
"34",34,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.34
"35",35,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.71
"36",36,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-1.235
"37",37,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.415
"38",38,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.325
"39",39,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.465
"40",40,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-1.06
"41",41,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.35
"42",42,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.045
"43",43,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.37
"44",44,"FC2","1","Omission","5CSRTT Day 1","off","Omission","Omission","",NA
"45",45,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-0.34
"46",46,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-0.375
"47",47,"FC2","1","Omission","5CSRTT Day 1","off","Omission","Omission","",NA
"48",48,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-1.74
"49",49,"FC2","1","Incorrect Response","5CSRTT Day 1","off","Not_omission","Not_premature","Error",0.87
"50",50,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-0.895
"51",51,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.42
"52",52,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-0.76
"53",53,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.75
"54",54,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-1.455
"55",55,"FC2","1","Incorrect Response","5CSRTT Day 1","off","Not_omission","Not_premature","Error",0.325
"56",56,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-0.38
"57",57,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.175
"58",58,"FC2","1","Incorrect Response","5CSRTT Day 1","off","Not_omission","Not_premature","Error",2.17
"59",59,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.02
"60",60,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-0.355
"61",61,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.33
"62",62,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.35
"63",63,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.515
"64",64,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-0.445
"65",65,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-2.66
"66",66,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-0.485
"67",67,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-0.32
"68",68,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.545
"69",69,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-0.865
"70",70,"FC2","1","Incorrect Response","5CSRTT Day 1","off","Not_omission","Not_premature","Error",0.95
"71",71,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.555
"72",72,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.375
"73",73,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.635
"74",74,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-0.685
"75",75,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.445
"76",76,"FC2","1","Incorrect Response","5CSRTT Day 1","off","Not_omission","Not_premature","Error",0.605
"77",77,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.355
"78",78,"FC2","1","Incorrect Response","5CSRTT Day 1","off","Not_omission","Not_premature","Error",4.89
"79",79,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.5
"80",80,"FC2","1","Incorrect Response","5CSRTT Day 1","off","Not_omission","Not_premature","Error",1.15
"81",81,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.565
"82",82,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-1.36
"83",83,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.225
"84",84,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.92
"85",85,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-1.04
"86",86,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-0.465
"87",87,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.305
"88",88,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-1.765
"89",89,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-1.175
"90",90,"FC2","1","Incorrect Response","5CSRTT Day 1","off","Not_omission","Not_premature","Error",0.085
"91",91,"FC2","1","Incorrect Response","5CSRTT Day 1","off","Not_omission","Not_premature","Error",2.54
"92",92,"FC2","1","Incorrect Response","5CSRTT Day 1","off","Not_omission","Not_premature","Error",5.2
"93",93,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.565
"94",94,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.33
"95",95,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-0.53
"96",96,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-0.175
"97",97,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-0.06
"98",98,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-1.02
"99",99,"FC2","1","Omission","5CSRTT Day 1","off","Omission","Omission","",NA
"100",100,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.46
"101",101,"FC2","2","Premature Response","5CSRTT Day 2","on","Not_omission","Premature","",-2.865
"102",102,"FC2","2","Premature Response","5CSRTT Day 2","on","Not_omission","Premature","",-3.02
"103",103,"FC2","2","Premature Response","5CSRTT Day 2","on","Not_omission","Premature","",-2.165
"104",104,"FC2","2","Incorrect Response","5CSRTT Day 2","on","Not_omission","Not_premature","Error",1.29
"105",105,"FC2","2","Premature Response","5CSRTT Day 2","on","Not_omission","Premature","",-0.695
"106",106,"FC2","2","Reward","5CSRTT Day 2","on","Not_omission","Not_premature","Reward",4.495
"107",107,"FC2","2","Reward","5CSRTT Day 2","on","Not_omission","Not_premature","Reward",0.375
"108",108,"FC2","2","Omission","5CSRTT Day 2","on","Omission","Omission","",NA
"109",109,"FC2","2","Premature Response","5CSRTT Day 2","on","Not_omission","Premature","",-1.385
"110",110,"FC2","2","Premature Response","5CSRTT Day 2","on","Not_omission","Premature","",-1.12
"111",111,"FC2","2","Premature Response","5CSRTT Day 2","on","Not_omission","Premature","",-3.135
"112",112,"FC2","2","Premature Response","5CSRTT Day 2","on","Not_omission","Premature","",-0.85
"113",113,"FC2","2","Premature Response","5CSRTT Day 2","on","Not_omission","Premature","",-2.155
"114",114,"FC2","2","Premature Response","5CSRTT Day 2","on","Not_omission","Premature","",-0.52
"115",115,"FC2","2","Premature Response","5CSRTT Day 2","on","Not_omission","Premature","",-1.77
"116",116,"FC2","2","Premature Response","5CSRTT Day 2","on","Not_omission","Premature","",-2.27
"117",117,"FC2","2","Premature Response","5CSRTT Day 2","on","Not_omission","Premature","",-1.69
"118",118,"FC2","2","Reward","5CSRTT Day 2","on","Not_omission","Not_premature","Reward",0.43
"119",119,"FC2","2","Premature Response","5CSRTT Day 2","on","Not_omission","Premature","",-1.645
"120",120,"FC2","2","Reward","5CSRTT Day 2","on","Not_omission","Not_premature","Reward",0.695
"121",121,"FC2","2","Premature Response","5CSRTT Day 2","on","Not_omission","Premature","",-0.235
"122",122,"FC2","2","Premature Response","5CSRTT Day 2","on","Not_omission","Premature","",-0.195
"123",123,"FC2","2","Premature Response","5CSRTT Day 2","on","Not_omission","Premature","",-0.4
"124",124,"FC2","2","Incorrect Response","5CSRTT Day 2","on","Not_omission","Not_premature","Error",0.61
"125",125,"FC2","2","Reward","5CSRTT Day 2","on","Not_omission","Not_premature","Reward",0.52
"126",126,"FC2","2","Premature Response","5CSRTT Day 2","on","Not_omission","Premature","",-1.73
"127",127,"FC2","2","Premature Response","5CSRTT Day 2","on","Not_omission","Premature","",-1.365
"128",128,"FC2","2","Omission","5CSRTT Day 2","on","Omission","Omission","",NA
"129",129,"FC2","2","Reward","5CSRTT Day 2","on","Not_omission","Not_premature","Reward",0.385
"130",130,"FC2","2","Reward","5CSRTT Day 2","on","Not_omission","Not_premature","Reward",0.175
"131",131,"FC2","2","Premature Response","5CSRTT Day 2","on","Not_omission","Premature","",-2.26
"132",132,"FC2","2","Incorrect Response","5CSRTT Day 2","on","Not_omission","Not_premature","Error",0.775
"133",133,"FC2","2","Reward","5CSRTT Day 2","on","Not_omission","Not_premature","Reward",2.675
"134",134,"FC2","2","Reward","5CSRTT Day 2","on","Not_omission","Not_premature","Reward",0.45
"135",135,"FC2","2","Reward","5CSRTT Day 2","on","Not_omission","Not_premature","Reward",0.5
"136",136,"FC2","2","Incorrect Response","5CSRTT Day 2","on","Not_omission","Not_premature","Error",0.23
"137",137,"FC2","2","Incorrect Response","5CSRTT Day 2","on","Not_omission","Not_premature","Error",3.715
"138",138,"FC2","2","Reward","5CSRTT Day 2","on","Not_omission","Not_premature","Reward",0.4
"139",139,"FC2","2","Premature Response","5CSRTT Day 2","on","Not_omission","Premature","",-0.315
"140",140,"FC2","2","Reward","5CSRTT Day 2","on","Not_omission","Not_premature","Reward",0.56
"141",141,"FC2","2","Premature Response","5CSRTT Day 2","on","Not_omission","Premature","",-1.07
"142",142,"FC2","2","Omission","5CSRTT Day 2","on","Omission","Omission","",NA
"143",143,"FC2","2","Reward","5CSRTT Day 2","on","Not_omission","Not_premature","Reward",0.515
"144",144,"FC2","2","Premature Response","5CSRTT Day 2","on","Not_omission","Premature","",-0.01
"145",145,"FC2","2","Incorrect Response","5CSRTT Day 2","on","Not_omission","Not_premature","Error",1.6
"146",146,"FC2","2","Reward","5CSRTT Day 2","on","Not_omission","Not_premature","Reward",0.455
"147",147,"FC2","2","Premature Response","5CSRTT Day 2","on","Not_omission","Premature","",-1.17
"148",148,"FC2","2","Reward","5CSRTT Day 2","on","Not_omission","Not_premature","Reward",0.39
"149",149,"FC2","2","Premature Response","5CSRTT Day 2","on","Not_omission","Premature","",-2.155
"150",150,"FC2","2","Reward","5CSRTT Day 2","on","Not_omission","Not_premature","Reward",0.735
"151",151,"FC2","2","Premature Response","5CSRTT Day 2","on","Not_omission","Premature","",-1.965
"152",152,"FC2","2","Incorrect Response","5CSRTT Day 2","on","Not_omission","Not_premature","Error",4.975
"153",153,"FC2","2","Omission","5CSRTT Day 2","on","Omission","Omission","",NA
"154",154,"FC2","2","Reward","5CSRTT Day 2","on","Not_omission","Not_premature","Reward",0.41
"155",155,"FC2","2","Premature Response","5CSRTT Day 2","on","Not_omission","Premature","",-1.165
"156",156,"FC2","2","Reward","5CSRTT Day 2","on","Not_omission","Not_premature","Reward",1.545
"157",157,"FC2","2","Premature Response","5CSRTT Day 2","on","Not_omission","Premature","",-1.82
"158",158,"FC2","2","Reward","5CSRTT Day 2","on","Not_omission","Not_premature","Reward",0.25
"159",159,"FC2","2","Premature Response","5CSRTT Day 2","on","Not_omission","Premature","",-1.725
"160",160,"FC2","2","Omission","5CSRTT Day 2","on","Omission","Omission","",NA
"161",161,"FC2","2","Incorrect Response","5CSRTT Day 2","on","Not_omission","Not_premature","Error",4.1
"162",162,"FC2","2","Reward","5CSRTT Day 2","on","Not_omission","Not_premature","Reward",0.395
"163",163,"FC2","2","Incorrect Response","5CSRTT Day 2","on","Not_omission","Not_premature","Error",0.875
"164",164,"FC2","2","Reward","5CSRTT Day 2","on","Not_omission","Not_premature","Reward",0.85
"165",165,"FC2","2","Premature Response","5CSRTT Day 2","on","Not_omission","Premature","",-0.59
"166",166,"FC2","2","Reward","5CSRTT Day 2","on","Not_omission","Not_premature","Reward",0.545
"167",167,"FC2","2","Premature Response","5CSRTT Day 2","on","Not_omission","Premature","",-1.815
"168",168,"FC2","2","Reward","5CSRTT Day 2","on","Not_omission","Not_premature","Reward",0.485
"169",169,"FC2","2","Incorrect Response","5CSRTT Day 2","on","Not_omission","Not_premature","Error",0.16
"170",170,"FC2","2","Reward","5CSRTT Day 2","on","Not_omission","Not_premature","Reward",0.52
"171",171,"FC2","2","Reward","5CSRTT Day 2","on","Not_omission","Not_premature","Reward",0.64
"172",172,"FC2","2","Premature Response","5CSRTT Day 2","on","Not_omission","Premature","",-1.29
"173",173,"FC2","2","Reward","5CSRTT Day 2","on","Not_omission","Not_premature","Reward",1.075
"174",174,"FC2","2","Incorrect Response","5CSRTT Day 2","on","Not_omission","Not_premature","Error",0.21
"175",175,"FC2","2","Reward","5CSRTT Day 2","on","Not_omission","Not_premature","Reward",0.69
"176",176,"FC2","2","Premature Response","5CSRTT Day 2","on","Not_omission","Premature","",-1.42
"177",177,"FC2","2","Incorrect Response","5CSRTT Day 2","on","Not_omission","Not_premature","Error",0.76
"178",178,"FC2","2","Reward","5CSRTT Day 2","on","Not_omission","Not_premature","Reward",1.64
"179",179,"FC2","2","Premature Response","5CSRTT Day 2","on","Not_omission","Premature","",-2.055
"180",180,"FC2","2","Premature Response","5CSRTT Day 2","on","Not_omission","Premature","",-0.905
"181",181,"FC2","2","Reward","5CSRTT Day 2","on","Not_omission","Not_premature","Reward",0.34
"182",182,"FC2","2","Incorrect Response","5CSRTT Day 2","on","Not_omission","Not_premature","Error",1.365
"183",183,"FC2","2","Premature Response","5CSRTT Day 2","on","Not_omission","Premature","",-1.075
"184",184,"FC2","2","Incorrect Response","5CSRTT Day 2","on","Not_omission","Not_premature","Error",0.4
"185",185,"FC2","2","Reward","5CSRTT Day 2","on","Not_omission","Not_premature","Reward",0.94
"186",186,"FC2","2","Premature Response","5CSRTT Day 2","on","Not_omission","Premature","",-1.725
"187",187,"FC2","2","Reward","5CSRTT Day 2","on","Not_omission","Not_premature","Reward",0.86
"188",188,"FC2","2","Reward","5CSRTT Day 2","on","Not_omission","Not_premature","Reward",0.335
"189",189,"FC2","2","Incorrect Response","5CSRTT Day 2","on","Not_omission","Not_premature","Error",0.535
"190",190,"FC2","2","Reward","5CSRTT Day 2","on","Not_omission","Not_premature","Reward",0.485
"191",191,"FC2","2","Premature Response","5CSRTT Day 2","on","Not_omission","Premature","",-0.97
"192",192,"FC2","2","Reward","5CSRTT Day 2","on","Not_omission","Not_premature","Reward",0.58
"193",193,"FC2","2","Reward","5CSRTT Day 2","on","Not_omission","Not_premature","Reward",5.295
"194",194,"FC2","2","Omission","5CSRTT Day 2","on","Omission","Omission","",NA
"195",195,"FC2","2","Reward","5CSRTT Day 2","on","Not_omission","Not_premature","Reward",0.275
"196",196,"FC2","2","Incorrect Response","5CSRTT Day 2","on","Not_omission","Not_premature","Error",1.365
"197",197,"FC2","2","Omission","5CSRTT Day 2","on","Omission","Omission","",NA
"198",198,"FC2","2","Reward","5CSRTT Day 2","on","Not_omission","Not_premature","Reward",0.49
"199",199,"FC2","2","Premature Response","5CSRTT Day 2","on","Not_omission","Premature","",-0.825
"200",200,"FC2","2","Premature Response","5CSRTT Day 2","on","Not_omission","Premature","",-1.36
"201",201,"FC2","3","Reward","5CSRTT Day 3","off","Not_omission","Not_premature","Reward",0.285
"202",202,"FC2","3","Omission","5CSRTT Day 3","off","Omission","Omission","",NA
"203",203,"FC2","3","Omission","5CSRTT Day 3","off","Omission","Omission","",NA
"204",204,"FC2","3","Premature Response","5CSRTT Day 3","off","Not_omission","Premature","",-1.075
"205",205,"FC2","3","Premature Response","5CSRTT Day 3","off","Not_omission","Premature","",-1.325
"206",206,"FC2","3","Omission","5CSRTT Day 3","off","Omission","Omission","",NA
"207",207,"FC2","3","Premature Response","5CSRTT Day 3","off","Not_omission","Premature","",-1.625
"208",208,"FC2","3","Incorrect Response","5CSRTT Day 3","off","Not_omission","Not_premature","Error",2.845
"209",209,"FC2","3","Premature Response","5CSRTT Day 3","off","Not_omission","Premature","",-1.205
"210",210,"FC2","3","Premature Response","5CSRTT Day 3","off","Not_omission","Premature","",-1.955
"211",211,"FC2","3","Incorrect Response","5CSRTT Day 3","off","Not_omission","Not_premature","Error",2.43
"212",212,"FC2","3","Premature Response","5CSRTT Day 3","off","Not_omission","Premature","",-0.38
"213",213,"FC2","3","Premature Response","5CSRTT Day 3","off","Not_omission","Premature","",-0.55
"214",214,"FC2","3","Incorrect Response","5CSRTT Day 3","off","Not_omission","Not_premature","Error",1.25
"215",215,"FC2","3","Reward","5CSRTT Day 3","off","Not_omission","Not_premature","Reward",0.52
"216",216,"FC2","3","Reward","5CSRTT Day 3","off","Not_omission","Not_premature","Reward",0.565
"217",217,"FC2","3","Premature Response","5CSRTT Day 3","off","Not_omission","Premature","",-2.915
"218",218,"FC2","3","Reward","5CSRTT Day 3","off","Not_omission","Not_premature","Reward",0.705
"219",219,"FC2","3","Reward","5CSRTT Day 3","off","Not_omission","Not_premature","Reward",0.7
"220",220,"FC2","3","Omission","5CSRTT Day 3","off","Omission","Omission","",NA
"221",221,"FC2","3","Incorrect Response","5CSRTT Day 3","off","Not_omission","Not_premature","Error",0.695
"222",222,"FC2","3","Premature Response","5CSRTT Day 3","off","Not_omission","Premature","",-0.985
"223",223,"FC2","3","Reward","5CSRTT Day 3","off","Not_omission","Not_premature","Reward",0.58
"224",224,"FC2","3","Incorrect Response","5CSRTT Day 3","off","Not_omission","Not_premature","Error",3.28
"225",225,"FC2","3","Reward","5CSRTT Day 3","off","Not_omission","Not_premature","Reward",0.615
"226",226,"FC2","3","Incorrect Response","5CSRTT Day 3","off","Not_omission","Not_premature","Error",3.645
"227",227,"FC2","3","Reward","5CSRTT Day 3","off","Not_omission","Not_premature","Reward",0.595
"228",228,"FC2","3","Reward","5CSRTT Day 3","off","Not_omission","Not_premature","Reward",0.555
"229",229,"FC2","3","Reward","5CSRTT Day 3","off","Not_omission","Not_premature","Reward",1.11
"230",230,"FC2","3","Premature Response","5CSRTT Day 3","off","Not_omission","Premature","",-0.46
"231",231,"FC2","3","Reward","5CSRTT Day 3","off","Not_omission","Not_premature","Reward",0.255
"232",232,"FC2","3","Reward","5CSRTT Day 3","off","Not_omission","Not_premature","Reward",0.095
"233",233,"FC2","3","Reward","5CSRTT Day 3","off","Not_omission","Not_premature","Reward",2.92
"234",234,"FC2","3","Premature Response","5CSRTT Day 3","off","Not_omission","Premature","",-3.28
"235",235,"FC2","3","Premature Response","5CSRTT Day 3","off","Not_omission","Premature","",-0.045
"236",236,"FC2","3","Reward","5CSRTT Day 3","off","Not_omission","Not_premature","Reward",0.65
"237",237,"FC2","3","Reward","5CSRTT Day 3","off","Not_omission","Not_premature","Reward",0.015
"238",238,"FC2","3","Premature Response","5CSRTT Day 3","off","Not_omission","Premature","",-1.205
"239",239,"FC2","3","Incorrect Response","5CSRTT Day 3","off","Not_omission","Not_premature","Error",0.795
"240",240,"FC2","3","Incorrect Response","5CSRTT Day 3","off","Not_omission","Not_premature","Error",1.145
"241",241,"FC2","3","Reward","5CSRTT Day 3","off","Not_omission","Not_premature","Reward",0.54
"242",242,"FC2","3","Reward","5CSRTT Day 3","off","Not_omission","Not_premature","Reward",0.515
"243",243,"FC2","3","Reward","5CSRTT Day 3","off","Not_omission","Not_premature","Reward",0.455
"244",244,"FC2","3","Premature Response","5CSRTT Day 3","off","Not_omission","Premature","",-0.455
"245",245,"FC2","3","Premature Response","5CSRTT Day 3","off","Not_omission","Premature","",-0.34
"246",246,"FC2","3","Incorrect Response","5CSRTT Day 3","off","Not_omission","Not_premature","Error",2.26
"247",247,"FC2","3","Reward","5CSRTT Day 3","off","Not_omission","Not_premature","Reward",0.33
"248",248,"FC2","3","Incorrect Response","5CSRTT Day 3","off","Not_omission","Not_premature","Error",0.1
"249",249,"FC2","3","Reward","5CSRTT Day 3","off","Not_omission","Not_premature","Reward",0.66
"250",250,"FC2","3","Reward","5CSRTT Day 3","off","Not_omission","Not_premature","Reward",1.905
"251",251,"FC2","3","Omission","5CSRTT Day 3","off","Omission","Omission","",NA
"252",252,"FC2","3","Incorrect Response","5CSRTT Day 3","off","Not_omission","Not_premature","Error",4.555
"253",253,"FC2","3","Premature Response","5CSRTT Day 3","off","Not_omission","Premature","",-0.285
"254",254,"FC2","3","Reward","5CSRTT Day 3","off","Not_omission","Not_premature","Reward",0.625
"255",255,"FC2","3","Premature Response","5CSRTT Day 3","off","Not_omission","Premature","",-2.42
"256",256,"FC2","3","Reward","5CSRTT Day 3","off","Not_omission","Not_premature","Reward",0.37
"257",257,"FC2","3","Premature Response","5CSRTT Day 3","off","Not_omission","Premature","",-1.395
"258",258,"FC2","3","Premature Response","5CSRTT Day 3","off","Not_omission","Premature","",-0.175
"259",259,"FC2","3","Premature Response","5CSRTT Day 3","off","Not_omission","Premature","",-0.755
"260",260,"FC2","3","Reward","5CSRTT Day 3","off","Not_omission","Not_premature","Reward",0.35
"261",261,"FC2","3","Reward","5CSRTT Day 3","off","Not_omission","Not_premature","Reward",0.55
"262",262,"FC2","3","Omission","5CSRTT Day 3","off","Omission","Omission","",NA
"263",263,"FC2","3","Reward","5CSRTT Day 3","off","Not_omission","Not_premature","Reward",0.835
"264",264,"FC2","3","Reward","5CSRTT Day 3","off","Not_omission","Not_premature","Reward",0.565
"265",265,"FC2","3","Incorrect Response","5CSRTT Day 3","off","Not_omission","Not_premature","Error",0.84
"266",266,"FC2","3","Premature Response","5CSRTT Day 3","off","Not_omission","Premature","",-1.405
"267",267,"FC2","3","Reward","5CSRTT Day 3","off","Not_omission","Not_premature","Reward",0.37
"268",268,"FC2","3","Reward","5CSRTT Day 3","off","Not_omission","Not_premature","Reward",0.39
"269",269,"FC2","3","Premature Response","5CSRTT Day 3","off","Not_omission","Premature","",-0.79
"270",270,"FC2","3","Premature Response","5CSRTT Day 3","off","Not_omission","Premature","",-0.68
"271",271,"FC2","3","Premature Response","5CSRTT Day 3","off","Not_omission","Premature","",-0.08
"272",272,"FC2","3","Reward","5CSRTT Day 3","off","Not_omission","Not_premature","Reward",0.455
"273",273,"FC2","3","Premature Response","5CSRTT Day 3","off","Not_omission","Premature","",-2.505
"274",274,"FC2","3","Premature Response","5CSRTT Day 3","off","Not_omission","Premature","",-0.59
"275",275,"FC2","3","Omission","5CSRTT Day 3","off","Omission","Omission","",NA
"276",276,"FC2","3","Incorrect Response","5CSRTT Day 3","off","Not_omission","Not_premature","Error",4.915
"277",277,"FC2","3","Incorrect Response","5CSRTT Day 3","off","Not_omission","Not_premature","Error",0.635
"278",278,"FC2","3","Reward","5CSRTT Day 3","off","Not_omission","Not_premature","Reward",0.36
"279",279,"FC2","3","Reward","5CSRTT Day 3","off","Not_omission","Not_premature","Reward",0.405
"280",280,"FC2","3","Reward","5CSRTT Day 3","off","Not_omission","Not_premature","Reward",0.75
"281",281,"FC2","3","Reward","5CSRTT Day 3","off","Not_omission","Not_premature","Reward",0.81
"282",282,"FC2","3","Premature Response","5CSRTT Day 3","off","Not_omission","Premature","",-2.31
"283",283,"FC2","3","Reward","5CSRTT Day 3","off","Not_omission","Not_premature","Reward",0.35
"284",284,"FC2","3","Premature Response","5CSRTT Day 3","off","Not_omission","Premature","",-1.425
"285",285,"FC2","3","Incorrect Response","5CSRTT Day 3","off","Not_omission","Not_premature","Error",0.815
"286",286,"FC2","3","Reward","5CSRTT Day 3","off","Not_omission","Not_premature","Reward",0.435
"287",287,"FC2","3","Reward","5CSRTT Day 3","off","Not_omission","Not_premature","Reward",0.62
"288",288,"FC2","3","Incorrect Response","5CSRTT Day 3","off","Not_omission","Not_premature","Error",2.335
