entryTime,exitTime,location,phase,taskTrial
87.535,87.62,3,0,0
93.42,93.505,3,1,1
93.755,94.03,2,2,1
94.335,94.495,2,0,0
102.99,103.345,1,1,2
103.54,103.66,3,1,2
103.905,104.21,2,2,2
109.935,110.015,2,0,0
110.28,110.7,3,0,0
110.835,110.96,3,0,0
111.35,111.44,3,1,3
111.645,111.885,2,2,3
116.45,116.595,2,0,0
121.645,122.025,3,1,4
122.285,122.655,2,2,4
128.065,128.21,3,0,0
128.8,129.055,3,0,0
129.265,129.425,1,0,0
129.655,129.825,3,1,5
130.085,130.345,2,2,5
135.945,136.295,3,0,0
136.43,136.555,3,0,0
136.795,136.955,3,0,0
137.665,137.76,3,1,6
137.97,138.05,1,2,6
141.9,142.07,3,0,0
142.09,142.24,3,0,0
142.47,142.58,1,0,0
143.22,143.395,3,0,0
143.595,143.745,1,0,0
144.805,144.96,3,0,0
145.245,145.345,2,1,7
145.61,145.795,3,1,7
146.12,146.195,1,2,7
150.93,151.125,3,0,0
151.355,151.505,1,0,0
151.865,152.12,3,0,0
152.21,152.245,3,0,0
152.255,152.445,3,0,0
152.665,152.785,1,0,0
155.19,155.26,3,1,8
155.53,155.65,1,2,8
158.8,159.025,3,0,0
159.255,159.335,3,0,0
159.66,159.765,1,0,0
160.955,161.265,3,0,0
161.43,161.555,3,0,0
161.6,161.635,3,0,0
161.74,161.85,3,0,0
162.435,162.795,3,0,0
162.925,163.095,3,1,9
163.32,163.45,1,2,9
167.695,167.825,3,0,0
168.3,168.52,3,0,0
169.47,169.725,3,0,0
170.065,170.215,3,0,0
170.9,171.005,3,1,10
171.215,171.375,1,2,10
175.625,175.74,3,0,0
176.025,176.09,3,0,0
176.85,176.98,3,0,0
177.055,177.165,3,0,0
177.63,177.8,2,0,0
180.42,180.485,3,1,11
180.82,181.015,2,2,11
185.6,185.725,3,0,0
185.73,185.815,3,0,0
186.02,186.225,1,0,0
186.715,186.95,3,0,0
187.175,187.385,1,0,0
187.77,188,3,0,0
