cueTime,initTime,respTime,RT,rule,block,light,performance,error,frontChoice,lightChoice
107.335,108.29,108.955,0.664999999999992,F2,1,0,0,0,0,1
116.06,117.69,118.58,0.890000000000001,F2,1,0,1,0,1,0
125.705,126.02,126.535,0.515000000000001,F2,2,1,0,2,0,0
133.64,134.49,134.915,0.424999999999983,F2,1,0,1,0,1,0
142.04,142.195,142.635,0.439999999999998,F2,2,1,0,2,0,0
149.74,152.52,155.525,3.005,F2,1,0,0,2,NaN,NaN
162.53,167.79,168.31,0.52000000000001,F2,1,0,0,2,0,1
175.415,178.125,178.66,0.534999999999997,F2,1,0,0,2,0,1
185.765,187.385,187.99,0.605000000000018,F2,1,0,0,2,0,1
195.095,195.79,196.24,0.450000000000017,F2,1,0,1,0,1,0
203.365,203.69,204.315,0.625,F2,2,1,1,0,1,1
211.44,211.68,212.09,0.409999999999997,F2,3,0,0,2,0,1
219.195,221.45,221.95,0.5,F2,1,0,1,0,1,0
229.075,229.68,230.055,0.375,F2,2,1,1,0,1,1
237.18,239.54,239.94,0.400000000000006,F2,3,0,1,0,1,0
247.065,249.06,249.615,0.555000000000007,F2,4,1,1,0,1,1
256.74,257.315,257.735,0.420000000000016,F2,5,1,1,0,1,1
264.86,266.055,266.505,0.449999999999989,L4,1,0,1,0,0,1
273.63,275.595,276.315,0.71999999999997,L4,2,1,1,0,1,1
283.44,283.705,284.485,0.78000000000003,L4,3,1,1,0,1,1
291.61,294.31,294.87,0.560000000000002,L4,4,0,1,0,0,1
301.995,306.265,307.09,0.824999999999989,L4,5,0,1,0,0,1
314.215,314.495,314.905,0.409999999999968,R1,1,1,0,0,1,1
322.01,327.105,327.655,0.549999999999955,R1,1,1,0,1,1,1
334.76,339.945,340.5,0.555000000000007,R1,1,1,0,1,1,1
347.605,351.89,352.505,0.615000000000009,R1,1,1,0,1,1,1
359.61,361.855,362.575,0.71999999999997,R1,1,1,0,1,1,1
369.68,376.05,377.355,1.30500000000001,R1,1,1,0,1,1,1
384.46,386.4,387,0.600000000000023,R1,1,1,0,1,1,1
394.105,401.015,401.53,0.514999999999986,R1,1,1,0,1,1,1
408.635,413.37,413.9,0.529999999999973,R1,1,1,0,1,1,1
421.005,424.98,425.39,0.409999999999968,R1,1,1,1,0,0,0
432.515,437.655,438.11,0.455000000000041,R1,2,0,0,2,1,0
445.215,446.295,447.375,1.07999999999998,R1,1,1,0,2,1,1
454.48,455.08,455.755,0.675000000000011,R1,1,1,0,2,1,1
462.86,464.335,464.865,0.53000000000003,R1,1,1,0,2,1,1
471.97,477.875,478.48,0.605000000000018,R1,1,1,0,2,1,1
485.585,487.43,488.24,0.810000000000002,R1,1,1,0,2,1,1
495.345,497.095,497.7,0.604999999999961,R1,1,1,0,2,1,1
504.805,513.895,514.555,0.659999999999968,R1,1,1,0,2,1,1
521.66,526.425,527.165,0.740000000000009,R1,1,1,0,2,1,1
534.27,535.875,536.455,0.580000000000041,R1,1,1,0,2,1,1
543.56,546.785,549.79,3.005,R1,1,1,0,2,NaN,NaN
556.795,559.95,560.465,0.514999999999986,R1,1,1,0,2,1,1
567.57,570.43,571.03,0.600000000000023,R1,1,1,0,2,1,1
578.135,581.18,582.82,1.6400000000001,R1,1,1,0,2,1,1
589.925,593.285,593.72,0.435000000000059,R1,1,1,1,0,0,0
600.845,602.02,602.47,0.450000000000045,R1,2,0,1,0,0,1
609.595,611.325,612.705,1.38,R1,3,1,0,2,1,1
619.81,623.015,624.175,1.15999999999997,R1,1,1,0,2,1,1
631.28,632.5,633.585,1.08500000000004,R1,1,1,0,2,1,1
640.69,643.485,644.1,0.615000000000009,R1,1,1,0,2,1,1
