entryTime,exitTime,location,phase,taskTrial
101.32,101.47,2,0,0
107.8,107.99,1,1,1
108.29,108.685,3,1,1
108.955,109.2,1,2,1
109.76,109.975,1,0,0
113.525,113.65,2,0,0
117.69,118.21,3,1,2
118.58,118.62,2,2,2
123.81,123.895,2,0,0
124.26,124.64,3,0,0
124.895,125.31,2,0,0
125.605,125.77,3,0,0
126.02,126.23,3,1,3
126.535,126.735,1,2,3
127.44,127.555,1,0,0
131.935,132.155,1,0,0
133.005,133.17,3,0,0
133.625,133.69,2,0,0
134.49,134.67,3,1,4
134.915,135.115,2,2,4
141.585,141.785,2,0,0
142.195,142.265,3,1,5
142.635,142.725,1,2,5
144.835,144.985,1,0,0
146.14,146.51,1,0,0
146.79,146.87,3,0,0
147.22,147.37,2,0,0
152.52,153.12,3,1,6
161.51,161.68,3,0,0
162.09,162.17,2,0,0
167.79,168.01,3,1,7
168.31,168.9,1,2,7
171.845,171.9,1,0,0
178.125,178.31,3,1,8
178.66,178.775,1,2,8
187.385,187.54,3,1,9
187.99,188.445,1,2,9
188.875,188.925,3,0,0
189.25,189.34,2,0,0
195.79,195.86,3,1,10
196.24,196.28,2,2,10
201.355,201.475,2,0,0
202.21,202.48,2,0,0
203.21,203.42,3,0,0
203.69,204.08,3,1,11
204.315,204.65,2,2,11
211.68,211.74,3,1,12
212.09,212.165,1,2,12
213.07,213.505,1,0,0
217.45,217.53,2,0,0
221.45,221.57,3,1,13
221.95,222.13,2,2,13
229.15,229.32,2,1,14
229.68,229.79,3,1,14
230.055,230.21,2,2,14
230.32,230.43,2,0,0
238.29,238.465,2,1,15
239.54,239.69,3,1,15
239.94,240.09,2,2,15
248.09,248.24,2,1,16
249.06,249.265,3,1,16
249.615,249.74,2,2,16
256.615,256.76,3,0,0
257.315,257.37,3,1,17
257.735,257.87,2,2,17
264.13,264.165,2,0,0
264.835,264.95,3,0,0
265.33,265.54,2,1,18
266.055,266.2,3,1,18
266.505,266.685,1,2,18
275.595,275.98,3,1,19
276.315,276.515,2,2,19
283.26,283.415,3,0,0
283.705,283.805,3,1,20
284.485,284.62,2,2,20
294.31,294.485,3,1,21
294.87,295.18,1,2,21
300.71,300.875,1,0,0
301.325,301.45,3,0,0
301.92,302.06,1,0,0
303.245,303.325,2,1,22
306.265,306.765,3,1,22
307.09,307.25,1,2,22
313.805,313.99,3,0,0
314.13,314.31,3,0,0
314.495,314.65,3,1,23
314.905,315.075,2,2,23
315.77,316.24,3,0,0
316.555,316.835,1,0,0
320.995,321.24,1,0,0
321.645,321.745,3,0,0
322.42,322.585,1,1,24
323.335,323.425,2,1,24
324.105,324.225,2,1,24
327.105,327.3,3,1,24
327.655,328.12,2,2,24
328.68,329.07,3,0,0
329.515,329.655,2,0,0
329.99,330.245,3,0,0
330.56,330.675,1,0,0
331.295,331.4,1,0,0
339.945,340.125,3,1,25
340.5,340.935,2,2,25
342.275,342.38,2,0,0
351.89,351.99,3,1,26
352.505,352.655,2,2,26
353.35,353.65,3,0,0
353.94,354.015,1,0,0
361.855,362.015,3,1,27
362.575,362.75,2,2,27
375.23,375.375,1,1,28
376.05,376.275,3,1,28
377.355,377.58,2,2,28
382.33,382.785,3,0,0
383.13,383.285,1,0,0
386.4,386.65,3,1,29
387,387.16,2,2,29
388.01,388.52,3,0,0
400.58,400.63,1,1,30
401.015,401.235,3,1,30
401.53,401.58,2,2,30
405.295,405.595,1,0,0
405.955,405.985,3,0,0
406.01,406.09,3,0,0
406.455,406.675,1,0,0
413.37,413.5,3,1,31
413.9,414.075,2,2,31
420.05,420.305,1,0,0
424.15,424.615,1,1,32
424.98,425.055,3,1,32
425.39,425.72,1,2,32
431.375,431.515,3,0,0
431.85,431.965,1,0,0
435.045,435.105,1,1,33
435.905,436.18,1,1,33
437.045,437.27,1,1,33
437.655,437.77,3,1,33
438.11,438.245,2,2,33
439.07,439.23,3,0,0
439.525,439.675,2,0,0
443.365,443.555,1,0,0
446.295,446.435,3,1,34
447.375,447.725,2,2,34
448.08,448.695,3,0,0
449.005,449.14,2,0,0
454.57,454.75,1,1,35
455.08,455.45,3,1,35
455.755,455.895,2,2,35
456.44,456.665,3,0,0
461.14,461.485,1,0,0
462.555,462.77,1,0,0
464.335,464.39,3,1,36
464.865,464.915,2,2,36
477.24,477.5,1,1,37
477.875,478.09,3,1,37
478.48,478.5,2,2,37
479.06,479.215,3,0,0
479.5,479.785,1,0,0
487.03,487.085,2,1,38
487.43,487.55,3,1,38
488.24,488.565,2,2,38
497.095,497.24,3,1,39
497.7,497.745,2,2,39
498.51,498.68,3,0,0
499.01,499.065,1,0,0
499.085,499.15,1,0,0
506.255,506.41,1,1,40
506.825,506.875,1,1,40
507.78,507.995,1,1,40
509.2,509.295,2,1,40
513.895,514.225,3,1,40
514.555,514.765,2,2,40
515.315,515.48,3,0,0
515.765,515.98,1,0,0
518.965,519.23,1,0,0
519.67,519.715,3,0,0
526.425,526.83,3,1,41
527.165,527.315,2,2,41
527.68,527.89,3,0,0
528.175,528.305,1,0,0
535.325,535.51,1,1,42
535.875,536.085,3,1,42
536.455,536.585,2,2,42
540.62,540.665,1,0,0
546.235,546.42,2,1,43
546.785,546.845,3,1,43
553.115,553.295,1,0,0
559.95,560.05,3,1,44
560.465,560.6,2,2,44
569.505,570.01,1,1,45
570.43,570.69,3,1,45
571.03,571.185,2,2,45
571.94,572.15,3,0,0
572.51,572.695,1,0,0
575.82,576.2,1,0,0
580.335,580.4,1,1,46
580.735,580.875,1,1,46
581.18,581.335,3,1,46
582.82,582.955,2,2,46
584.01,584.105,2,0,0
591.295,591.49,1,1,47
592.56,592.79,2,1,47
593.285,593.35,3,1,47
593.72,593.805,1,2,47
602.02,602.17,3,1,48
602.47,602.73,1,2,48
609.59,609.72,3,0,0
610.12,610.2,1,1,49
611.325,611.405,3,1,49
612.705,612.91,2,2,49
613.39,613.54,3,0,0
613.88,614.18,1,0,0
615.125,616.055,1,0,0
616.28,616.38,1,0,0
617.305,617.455,1,0,0
623.015,623.13,3,1,50
624.175,624.485,2,2,50
625.385,625.645,3,0,0
625.965,626.13,1,0,0
632.5,632.645,3,1,51
633.585,633.735,2,2,51
634.06,634.275,3,0,0
634.62,634.75,1,0,0
643.485,643.605,3,1,52
644.1,644.165,2,2,52
644.83,644.985,3,0,0
645.285,645.47,1,0,0
653.335,653.615,1,1,53
653.97,654.045,3,1,53
654.35,654.545,1,2,53
661.335,661.49,3,0,0
661.81,661.94,1,1,54
662.565,662.615,3,1,54
662.955,663.145,1,2,54
670.05,670.23,1,0,0
671.53,671.67,3,1,55
672.365,672.63,1,2,55
680.43,680.535,3,1,56
680.905,680.965,1,2,56
689.955,690.09,3,1,57
690.515,690.59,1,2,57
698.305,698.33,1,1,58
698.41,698.51,1,1,58
698.94,699.06,3,1,58
699.825,699.95,2,2,58
706.39,706.47,3,0,0
706.83,707.02,1,0,0
707.465,707.515,3,1,59
708.045,708.065,1,2,59
714.93,714.975,3,0,0
714.985,715.06,3,0,0
715.555,715.615,1,1,60
716.99,717.165,3,1,60
717.56,717.62,2,2,60
724.69,725.1,3,1,61
725.475,725.63,2,2,61
734.26,734.41,1,1,62
734.44,734.46,1,1,62
734.96,735.01,3,1,62
735.465,735.66,1,2,62
742.03,742.205,3,0,0
742.575,742.735,1,0,0
743.46,743.545,3,1,63
743.87,744.02,1,2,63
745.03,745.105,1,0,0
747.43,747.54,2,0,0
751.56,751.73,3,1,64
752.065,752.67,1,2,64
754.695,754.855,1,0,0
755.66,755.89,3,0,0
756.29,756.46,2,0,0
760.155,760.345,3,1,65
760.675,760.84,1,2,65
766.155,766.33,2,0,0
766.675,766.83,3,0,0
767.145,767.33,1,0,0
768.02,768.145,1,1,66
768.435,768.795,3,1,66
769.14,769.335,2,2,66
776.145,776.335,2,0,0
776.72,776.795,3,1,67
776.995,777.175,3,2,67
